factor,category,horizon,n_dates,avg_coverage,rank_ic_mean,rank_ic_t,rank_ic_positive_rate,train_ic_mean,test_ic_mean,recommended_direction,oriented_ls_mean,oriented_ls_t,qualified_for_research
analyst_rating_score_mean_60d,analyst_revision_rolling,20,559,827.9,0.017645,7.8407,0.6225,0.002564,0.044717,1,0.003424,4.7029,True
analyst_upgrade_count,analyst_revision,20,3,114.3,0.079856,2.9775,1.0,0.079856,,1,-0.004546,-0.2458,False
analyst_upgrade_count,analyst_revision,10,3,114.3,0.035001,14.6677,1.0,0.035001,,1,-0.053385,-3.9405,False
analyst_upgrade_count,analyst_revision,5,3,114.3,0.017451,0.6674,0.3333,0.017451,,1,-0.044265,-3.742,False
analyst_event_count_20d,analyst_revision_rolling,20,559,1186.1,-0.017192,-4.3041,0.4347,-0.043983,0.030898,-1,0.009806,8.0507,False
analyst_event_count_60d,analyst_revision_rolling,20,559,1186.1,-0.015742,-3.12,0.449,-0.047487,0.041242,-1,0.010173,6.6249,False
analyst_rating_events,analyst_revision,5,307,98.9,-0.015498,-1.9463,0.4723,-0.015826,-0.014839,-1,0.002228,1.4922,False
analyst_rating_events,analyst_revision,1,308,98.8,-0.014717,-1.883,0.4416,-0.023194,0.002155,-1,0.001257,1.9911,False
analyst_event_count_20d,analyst_revision_rolling,10,569,1186.3,-0.012957,-3.5245,0.4482,-0.029914,0.01603,-1,0.005079,6.5829,False
analyst_rating_events,analyst_revision,10,307,98.9,-0.012426,-1.6233,0.4723,-0.00771,-0.021905,-1,0.000947,0.456,False
analyst_rating_events,analyst_revision,20,297,96.4,-0.01212,-1.5945,0.4444,-0.005808,-0.026183,-1,-0.00182,-0.6055,False
analyst_rating_score_mean,analyst_revision,1,366,88.2,0.010359,1.3915,0.5273,0.013529,0.00394,1,0.000783,1.2307,False
analyst_event_count_20d,analyst_revision_rolling,5,574,1186.8,-0.009806,-2.5657,0.4756,-0.021726,0.010097,-1,0.002297,4.0153,False
analyst_rating_score_mean_60d,analyst_revision_rolling,10,569,828.6,0.00906,3.9743,0.5518,-0.00015,0.024805,1,0.000931,1.7599,False
analyst_rating_score_mean_20d,analyst_revision_rolling,20,559,545.5,0.008372,3.1668,0.5617,0.000631,0.022268,1,-0.002193,-2.2021,False
analyst_rating_score_mean_60d,analyst_revision_rolling,5,574,829.4,0.008303,3.7932,0.5592,0.003077,0.01703,1,0.000578,1.5828,False
analyst_event_count_60d,analyst_revision_rolling,10,569,1186.3,-0.008298,-1.8105,0.4622,-0.030444,0.029562,-1,0.005092,5.4808,False
analyst_event_count_20d,analyst_revision_rolling,1,578,1187.3,-0.008045,-2.0577,0.4567,-0.012001,-0.001559,-1,0.0004,1.6408,False
analyst_revision_sum_60d,analyst_revision_rolling,20,558,1186.1,0.007533,4.5475,0.6165,0.003511,0.014733,1,0.00876,4.8203,False
analyst_upgrade_minus_downgrade_60d,analyst_revision_rolling,20,558,1186.1,0.007533,4.5475,0.6165,0.003511,0.014733,1,0.00876,4.8203,False
analyst_rating_score_mean,analyst_revision,10,360,88.9,0.006469,0.8743,0.5278,0.001214,0.017664,1,-3e-05,-0.0141,False
analyst_event_count_60d,analyst_revision_rolling,5,574,1186.8,-0.006311,-1.3773,0.4895,-0.021565,0.01916,-1,0.002465,3.7477,False
analyst_event_count_60d,analyst_revision_rolling,1,578,1187.3,-0.006207,-1.3198,0.481,-0.012248,0.003696,-1,0.000476,1.6891,False
