name,sharpe_ratio,annual_return,annual_volatility,max_drawdown,win_rate,total_return,avg_oos_sharpe,sharpe_decay,avg_stock_exposure,avg_active_stocks
v28_ic_adaptive_crisis_freq10,1.0606,0.1928,0.1582,-0.2321,0.5664,3.2581,1.2153,-0.0857,0.6357,60.0
v28_ic_adaptive_crisis_freq5,0.8669,0.1645,0.1609,-0.2368,0.557,2.3802,1.144,-0.274,0.6299,50.0
v28_ic_adaptive_defensive_freq20,0.7996,0.1034,0.098,-0.1186,0.5565,1.2088,1.1189,-0.0536,0.3044,90.0
v28_ic_adaptive_crisis_lowvol_freq10,0.8762,0.1002,0.0859,-0.1058,0.5619,1.1732,1.1163,-0.0385,0.2365,70.0
v28_ic_adaptive_guarded_freq10,0.9515,0.1301,0.1104,-0.14,0.5604,1.7092,1.1031,-0.0275,0.3736,70.0
v28_ic_adaptive_market_neutral_freq10,0.6122,0.0797,0.0893,-0.126,0.5229,0.838,1.048,-0.3452,-0.0,160.0
v28_ic_adaptive_crisis_dd_cap_freq10,1.0256,0.1347,0.1069,-0.1269,0.5634,1.8193,0.9988,-0.0311,0.3162,60.0
v28_ic_adaptive_crisis_balanced_freq10,0.9464,0.1325,0.1136,-0.1405,0.5624,1.7538,0.9953,0.0579,0.3609,55.0
v28_alt_ic_adaptive_guarded_freq10,0.8507,0.1146,0.1053,-0.148,0.5535,1.4022,0.9624,-0.1784,0.3671,70.0
v28_anti_momentum_lowvol_guarded_freq10,0.8368,0.1167,0.1096,-0.1509,0.559,1.4349,0.7983,0.0991,0.3471,70.0
v28_ic_adaptive_market_neutral_freq5,0.4692,0.0736,0.1035,-0.2252,0.517,0.7308,0.7947,-1.14,-0.0,120.0
v28_alt_ic_adaptive_market_neutral_freq10,0.4685,0.0705,0.097,-0.1409,0.517,0.697,0.7145,-0.6397,-0.0,160.0
v28_lowvol_liquidity_crisis_freq10,0.4679,0.0899,0.1386,-0.2345,0.5486,0.9056,0.6861,-0.2037,0.6357,80.0
v28_reversal_liquidity_crisis_freq5,0.1334,0.0481,0.1728,-0.3829,0.5289,0.3046,0.2692,-1.7737,0.6299,40.0
v28_reversal_liquidity_no_crisis_freq5,0.0909,0.0395,0.1599,-0.3623,0.5333,0.2398,0.1504,0.0705,0.6299,40.0
v28_momentum_lowvol_crisis_freq20,0.1511,0.0578,0.2171,-0.4667,0.5308,0.3154,0.1434,-2.604,0.6305,60.0
