name,production_comparable,sharpe_ratio,annual_return,annual_volatility,max_drawdown,win_rate,total_return,avg_oos_sharpe,sharpe_decay,avg_stock_exposure,avg_crisis_weight,avg_carry_weight
v29_price_meta_balanced_carry_floor,True,2.5173,0.2319,0.0822,-0.0508,0.5748,4.2954,2.5686,-0.0077,0.4007,0.1798,0.4195
v29_price_meta_lowvol_carry_floor,True,2.4517,0.1916,0.0679,-0.0402,0.5699,3.17,2.5956,-0.0452,0.3285,0.1679,0.5036
v29_price_meta_balanced_blended_floor,True,2.4261,0.2661,0.0994,-0.0909,0.5737,5.7202,2.4817,0.0234,0.4481,0.4416,0.1104
v29_price_meta_balanced_crisis,True,2.3728,0.272,0.1041,-0.1058,0.578,5.9905,2.4541,0.0327,0.4479,0.5521,0.0
v29_price_meta_lowvol_blended_floor,True,2.3066,0.2175,0.0835,-0.0897,0.5731,4.0272,2.4763,-0.0009,0.3478,0.5348,0.1174
v29_price_meta_lowvol_small_carry_floor,True,2.2668,0.2209,0.0864,-0.0982,0.5731,4.1482,2.4573,0.0046,0.3477,0.6001,0.0522
v29_price_meta_lowvol_micro_carry_floor,True,2.2585,0.2216,0.0871,-0.0999,0.5731,4.1722,2.4535,0.0057,0.3477,0.6132,0.0391
v29_price_meta_lowvol_recent_guard,True,2.2568,0.2052,0.0798,-0.0963,0.5726,3.591,2.4867,-0.0004,0.3052,0.6254,0.0695
v29_price_meta_aggressive_guarded,True,2.2374,0.2931,0.1198,-0.1091,0.5699,7.6419,2.3754,0.0127,0.531,0.469,0.0
v29_price_meta_lowvol_crisis,True,2.2342,0.2238,0.089,-0.105,0.5726,4.2499,2.4437,0.0081,0.3477,0.6523,0.0
v29_price_meta_ultradefensive,True,2.1123,0.1863,0.0764,-0.109,0.58,2.6407,2.4018,0.0347,0.238,0.762,0.0
v29_alt_meta_research_only,False,2.2191,0.2371,0.0956,-0.1053,0.5705,4.7775,2.4173,0.0005,0.3955,0.6045,0.0
