name,production_comparable,sharpe_ratio,annual_return,annual_volatility,max_drawdown,win_rate,total_return,avg_oos_sharpe,sharpe_decay,avg_stock_exposure,avg_crisis_weight,avg_carry_weight
v29_price_meta_ultradefensive,True,2.0848,0.1001,0.036,-0.0398,0.5889,4.7876,1.7043,0.1665,0.221,0.779,0.0
v29_price_meta_lowvol_recent_guard,True,2.0034,0.1209,0.0479,-0.0543,0.577,7.7879,1.7112,0.124,0.2893,0.6396,0.0711
v29_price_meta_lowvol_crisis,True,1.9893,0.1332,0.0544,-0.0703,0.5755,9.9151,1.7,0.1216,0.3298,0.6702,0.0
v29_price_meta_lowvol_micro_carry_floor,True,1.9738,0.1323,0.0544,-0.0703,0.5746,9.7501,1.6896,0.1202,0.3298,0.6299,0.0402
v29_price_meta_lowvol_small_carry_floor,True,1.9686,0.132,0.0544,-0.0703,0.5746,9.6956,1.6861,0.1198,0.3298,0.6165,0.0536
v29_price_meta_longhorizon_guard,True,1.9684,0.1294,0.0531,-0.056,0.574,9.2123,1.7081,0.1042,0.3205,0.5096,0.1699
v29_price_meta_balanced_crisis,True,1.9533,0.1595,0.0688,-0.0877,0.5705,15.6385,1.6915,0.1111,0.4164,0.5836,0.0
v29_price_meta_lowvol_blended_floor,True,1.9427,0.1306,0.0544,-0.0703,0.5731,9.4274,1.6689,0.1175,0.3298,0.5495,0.1206
v29_price_meta_balanced_blended_floor,True,1.9181,0.1571,0.0688,-0.0877,0.5694,14.9407,1.668,0.1078,0.4164,0.4669,0.1167
v29_price_meta_balanced_carry_floor,True,1.841,0.1383,0.0616,-0.0745,0.5641,10.4982,1.6135,0.0963,0.3723,0.1883,0.4394
v29_price_meta_lowvol_carry_floor,True,1.7958,0.1174,0.0514,-0.0639,0.5659,7.2214,1.5762,0.1036,0.3113,0.1722,0.5165
v29_price_meta_aggressive_guarded,True,1.7897,0.1768,0.0848,-0.104,0.5674,22.176,1.6279,0.0889,0.4992,0.5008,0.0
v29_alt_meta_research_only,False,1.9343,0.1439,0.0615,-0.0757,0.5683,12.1573,1.6722,0.0961,0.3742,0.6258,0.0
