panel,offset,max_symbols,missing_symbols,first_code,last_code,command,start,end,missing_dates,cadence
flow,5.0,25.0,25.0,000035,000559,env QUANT_FLOW_SKIP_EXISTING=1 QUANT_FLOW_COMBINE_ALL_EXISTING=1 QUANT_FLOW_FETCH_NORTHBOUND_AGGREGATE=0 QUANT_FLOW_FETCH_NORTHBOUND_HOLDINGS=1 QUANT_FLOW_FETCH_MAIN_FUND=0 QUANT_FLOW_FETCH_BIG_DEAL=0 QUANT_FLOW_FETCH_FUND_FLOW_RANKS=0 QUANT_FLOW_FETCH_MARGIN_DETAILS=0 QUANT_FLOW_SYMBOL_OFFSET=5 QUANT_FLOW_MAX_SYMBOLS=25 .venv/bin/python scripts/fetch_flow_signals.py,,,,
flow,30.0,25.0,25.0,000563,000712,env QUANT_FLOW_SKIP_EXISTING=1 QUANT_FLOW_COMBINE_ALL_EXISTING=1 QUANT_FLOW_FETCH_NORTHBOUND_AGGREGATE=0 QUANT_FLOW_FETCH_NORTHBOUND_HOLDINGS=1 QUANT_FLOW_FETCH_MAIN_FUND=0 QUANT_FLOW_FETCH_BIG_DEAL=0 QUANT_FLOW_FETCH_FUND_FLOW_RANKS=0 QUANT_FLOW_FETCH_MARGIN_DETAILS=0 QUANT_FLOW_SYMBOL_OFFSET=30 QUANT_FLOW_MAX_SYMBOLS=25 .venv/bin/python scripts/fetch_flow_signals.py,,,,
flow,55.0,25.0,25.0,000727,000880,env QUANT_FLOW_SKIP_EXISTING=1 QUANT_FLOW_COMBINE_ALL_EXISTING=1 QUANT_FLOW_FETCH_NORTHBOUND_AGGREGATE=0 QUANT_FLOW_FETCH_NORTHBOUND_HOLDINGS=1 QUANT_FLOW_FETCH_MAIN_FUND=0 QUANT_FLOW_FETCH_BIG_DEAL=0 QUANT_FLOW_FETCH_FUND_FLOW_RANKS=0 QUANT_FLOW_FETCH_MARGIN_DETAILS=0 QUANT_FLOW_SYMBOL_OFFSET=55 QUANT_FLOW_MAX_SYMBOLS=25 .venv/bin/python scripts/fetch_flow_signals.py,,,,
flow,80.0,25.0,25.0,000885,000997,env QUANT_FLOW_SKIP_EXISTING=1 QUANT_FLOW_COMBINE_ALL_EXISTING=1 QUANT_FLOW_FETCH_NORTHBOUND_AGGREGATE=0 QUANT_FLOW_FETCH_NORTHBOUND_HOLDINGS=1 QUANT_FLOW_FETCH_MAIN_FUND=0 QUANT_FLOW_FETCH_BIG_DEAL=0 QUANT_FLOW_FETCH_FUND_FLOW_RANKS=0 QUANT_FLOW_FETCH_MARGIN_DETAILS=0 QUANT_FLOW_SYMBOL_OFFSET=80 QUANT_FLOW_MAX_SYMBOLS=25 .venv/bin/python scripts/fetch_flow_signals.py,,,,
flow,105.0,25.0,25.0,001213,002041,env QUANT_FLOW_SKIP_EXISTING=1 QUANT_FLOW_COMBINE_ALL_EXISTING=1 QUANT_FLOW_FETCH_NORTHBOUND_AGGREGATE=0 QUANT_FLOW_FETCH_NORTHBOUND_HOLDINGS=1 QUANT_FLOW_FETCH_MAIN_FUND=0 QUANT_FLOW_FETCH_BIG_DEAL=0 QUANT_FLOW_FETCH_FUND_FLOW_RANKS=0 QUANT_FLOW_FETCH_MARGIN_DETAILS=0 QUANT_FLOW_SYMBOL_OFFSET=105 QUANT_FLOW_MAX_SYMBOLS=25 .venv/bin/python scripts/fetch_flow_signals.py,,,,
flow,130.0,25.0,25.0,002043,002123,env QUANT_FLOW_SKIP_EXISTING=1 QUANT_FLOW_COMBINE_ALL_EXISTING=1 QUANT_FLOW_FETCH_NORTHBOUND_AGGREGATE=0 QUANT_FLOW_FETCH_NORTHBOUND_HOLDINGS=1 QUANT_FLOW_FETCH_MAIN_FUND=0 QUANT_FLOW_FETCH_BIG_DEAL=0 QUANT_FLOW_FETCH_FUND_FLOW_RANKS=0 QUANT_FLOW_FETCH_MARGIN_DETAILS=0 QUANT_FLOW_SYMBOL_OFFSET=130 QUANT_FLOW_MAX_SYMBOLS=25 .venv/bin/python scripts/fetch_flow_signals.py,,,,
flow,155.0,25.0,25.0,002125,002204,env QUANT_FLOW_SKIP_EXISTING=1 QUANT_FLOW_COMBINE_ALL_EXISTING=1 QUANT_FLOW_FETCH_NORTHBOUND_AGGREGATE=0 QUANT_FLOW_FETCH_NORTHBOUND_HOLDINGS=1 QUANT_FLOW_FETCH_MAIN_FUND=0 QUANT_FLOW_FETCH_BIG_DEAL=0 QUANT_FLOW_FETCH_FUND_FLOW_RANKS=0 QUANT_FLOW_FETCH_MARGIN_DETAILS=0 QUANT_FLOW_SYMBOL_OFFSET=155 QUANT_FLOW_MAX_SYMBOLS=25 .venv/bin/python scripts/fetch_flow_signals.py,,,,
flow,180.0,25.0,25.0,002212,002299,env QUANT_FLOW_SKIP_EXISTING=1 QUANT_FLOW_COMBINE_ALL_EXISTING=1 QUANT_FLOW_FETCH_NORTHBOUND_AGGREGATE=0 QUANT_FLOW_FETCH_NORTHBOUND_HOLDINGS=1 QUANT_FLOW_FETCH_MAIN_FUND=0 QUANT_FLOW_FETCH_BIG_DEAL=0 QUANT_FLOW_FETCH_FUND_FLOW_RANKS=0 QUANT_FLOW_FETCH_MARGIN_DETAILS=0 QUANT_FLOW_SYMBOL_OFFSET=180 QUANT_FLOW_MAX_SYMBOLS=25 .venv/bin/python scripts/fetch_flow_signals.py,,,,
flow,205.0,25.0,25.0,002312,002409,env QUANT_FLOW_SKIP_EXISTING=1 QUANT_FLOW_COMBINE_ALL_EXISTING=1 QUANT_FLOW_FETCH_NORTHBOUND_AGGREGATE=0 QUANT_FLOW_FETCH_NORTHBOUND_HOLDINGS=1 QUANT_FLOW_FETCH_MAIN_FUND=0 QUANT_FLOW_FETCH_BIG_DEAL=0 QUANT_FLOW_FETCH_FUND_FLOW_RANKS=0 QUANT_FLOW_FETCH_MARGIN_DETAILS=0 QUANT_FLOW_SYMBOL_OFFSET=205 QUANT_FLOW_MAX_SYMBOLS=25 .venv/bin/python scripts/fetch_flow_signals.py,,,,
flow,230.0,25.0,25.0,002416,002534,env QUANT_FLOW_SKIP_EXISTING=1 QUANT_FLOW_COMBINE_ALL_EXISTING=1 QUANT_FLOW_FETCH_NORTHBOUND_AGGREGATE=0 QUANT_FLOW_FETCH_NORTHBOUND_HOLDINGS=1 QUANT_FLOW_FETCH_MAIN_FUND=0 QUANT_FLOW_FETCH_BIG_DEAL=0 QUANT_FLOW_FETCH_FUND_FLOW_RANKS=0 QUANT_FLOW_FETCH_MARGIN_DETAILS=0 QUANT_FLOW_SYMBOL_OFFSET=230 QUANT_FLOW_MAX_SYMBOLS=25 .venv/bin/python scripts/fetch_flow_signals.py,,,,
