date,close_count,warmup_eligible_count,close_coverage_ratio
2006-01-04,484,1,0.242728
2006-01-05,501,1,0.251254
2006-01-06,512,1,0.25677
2006-01-09,506,1,0.253761
2006-01-10,506,1,0.253761
2006-01-11,508,1,0.254764
2006-01-12,509,1,0.255266
2006-01-13,501,1,0.251254
2006-01-16,492,1,0.24674
2006-01-17,491,1,0.246239
2006-01-18,492,1,0.24674
2006-01-19,496,1,0.248746
2006-01-20,496,1,0.248746
2006-01-23,469,1,0.235206
2006-01-24,475,1,0.238215
2006-01-25,482,1,0.241725
2006-02-06,483,1,0.242227
2006-02-07,488,1,0.244734
2006-02-08,487,1,0.244233
2006-02-09,491,1,0.246239
2006-02-10,492,1,0.24674
2006-02-13,485,1,0.24323
2006-02-14,491,1,0.246239
2006-02-15,497,1,0.249248
2006-02-16,503,1,0.252257
2006-02-17,510,1,0.255767
2006-02-20,487,1,0.244233
2006-02-21,490,1,0.245737
2006-02-22,494,1,0.247743
2006-02-23,502,1,0.251755
2006-02-24,502,1,0.251755
2006-02-27,471,0,0.236209
2006-02-28,475,0,0.238215
2006-03-01,476,0,0.238716
2006-03-02,479,0,0.240221
2006-03-03,480,0,0.240722
2006-03-06,461,0,0.231194
2006-03-07,461,0,0.231194
2006-03-08,463,0,0.232197
2006-03-09,467,0,0.234203
2006-03-10,467,0,0.234203
2006-03-13,461,0,0.231194
2006-03-14,461,0,0.231194
2006-03-15,466,0,0.233701
2006-03-16,477,0,0.239218
2006-03-17,477,0,0.239218
2006-03-20,456,0,0.228686
2006-03-21,461,0,0.231194
2006-03-22,457,0,0.229188
2006-03-23,458,0,0.229689
2006-03-24,464,0,0.232698
2006-03-27,437,0,0.219157
2006-03-28,434,0,0.217653
2006-03-29,447,0,0.224173
2006-03-30,447,0,0.224173
2006-03-31,448,0,0.224674
2006-04-03,445,0,0.22317
2006-04-04,447,0,0.224173
2006-04-05,451,0,0.226179
2006-04-06,460,0,0.230692
2006-04-07,461,0,0.231194
2006-04-10,445,0,0.22317
2006-04-11,459,0,0.230191
2006-04-12,461,0,0.231194
2006-04-13,465,0,0.2332
2006-04-14,468,0,0.234704
2006-04-17,460,0,0.230692
2006-04-18,455,0,0.228185
2006-04-19,465,0,0.2332
2006-04-20,464,0,0.232698
2006-04-21,466,0,0.233701
2006-04-24,467,0,0.234203
2006-04-25,473,0,0.237212
2006-04-26,474,0,0.237713
2006-04-27,478,0,0.239719
2006-04-28,465,0,0.2332
2006-05-08,451,0,0.226179
2006-05-09,463,0,0.232197
2006-05-10,464,0,0.232698
2006-05-11,475,0,0.238215
2006-05-12,465,1,0.2332
2006-05-15,454,1,0.227683
2006-05-16,464,1,0.232698
2006-05-17,477,1,0.239218
2006-05-18,471,1,0.236209
2006-05-19,465,1,0.2332
2006-05-22,465,1,0.2332
2006-05-23,468,0,0.234704
2006-05-24,485,0,0.24323
2006-05-25,479,0,0.240221
2006-05-26,462,1,0.231695
2006-05-29,469,1,0.235206
2006-05-30,474,2,0.237713
2006-05-31,489,2,0.245236
2006-06-01,497,2,0.249248
2006-06-02,492,2,0.24674
2006-06-05,488,2,0.244734
2006-06-06,487,2,0.244233
2006-06-07,501,2,0.251254
2006-06-08,507,2,0.254263
2006-06-09,508,3,0.254764
2006-06-12,503,2,0.252257
2006-06-13,507,2,0.254263
2006-06-14,508,1,0.254764
2006-06-15,507,2,0.254263
2006-06-16,496,2,0.248746
2006-06-19,493,1,0.247242
2006-06-20,497,1,0.249248
2006-06-21,505,1,0.25326
2006-06-22,503,1,0.252257
2006-06-23,494,1,0.247743
2006-06-26,492,1,0.24674
2006-06-27,498,1,0.249749
2006-06-28,497,0,0.249248
2006-06-29,491,0,0.246239
2006-06-30,466,0,0.233701
2006-07-03,492,0,0.24674
2006-07-04,504,0,0.252758
2006-07-05,509,0,0.255266
2006-07-06,511,0,0.256269
2006-07-07,507,0,0.254263
2006-07-10,503,0,0.252257
2006-07-11,507,0,0.254263
2006-07-12,509,0,0.255266
2006-07-13,515,0,0.258275
2006-07-14,513,0,0.257272
2006-07-17,509,0,0.255266
2006-07-18,509,0,0.255266
2006-07-19,516,0,0.258776
2006-07-20,519,0,0.260281
2006-07-21,513,0,0.257272
2006-07-24,504,0,0.252758
2006-07-25,508,0,0.254764
2006-07-26,510,0,0.255767
2006-07-27,514,0,0.257773
2006-07-28,517,0,0.259278
2006-07-31,515,0,0.258275
2006-08-01,519,0,0.260281
2006-08-02,523,0,0.262287
2006-08-03,524,0,0.262788
2006-08-04,526,0,0.263791
2006-08-07,525,0,0.26329
2006-08-08,526,0,0.263791
2006-08-09,527,0,0.264293
2006-08-10,522,0,0.261785
2006-08-11,529,0,0.265296
2006-08-14,523,0,0.262287
2006-08-15,529,0,0.265296
2006-08-16,534,0,0.267803
2006-08-17,536,0,0.268806
2006-08-18,533,0,0.267302
2006-08-21,531,0,0.266299
2006-08-22,535,0,0.268305
2006-08-23,541,0,0.271314
2006-08-24,542,0,0.271815
2006-08-25,541,0,0.271314
2006-08-28,535,0,0.268305
2006-08-29,542,0,0.271815
2006-08-30,543,0,0.272317
2006-08-31,545,0,0.27332
2006-09-01,543,0,0.272317
2006-09-04,536,0,0.268806
2006-09-05,541,0,0.271314
2006-09-06,541,0,0.271314
2006-09-07,544,0,0.272818
2006-09-08,539,0,0.270311
2006-09-11,539,0,0.270311
2006-09-12,539,0,0.270311
2006-09-13,537,0,0.269308
2006-09-14,546,0,0.273821
2006-09-15,535,0,0.268305
2006-09-18,541,0,0.271314
2006-09-19,546,0,0.273821
2006-09-20,545,0,0.27332
2006-09-21,547,0,0.274323
2006-09-22,547,0,0.274323
2006-09-25,549,1,0.275326
2006-09-26,542,1,0.271815
2006-09-27,550,1,0.275827
2006-09-28,547,1,0.274323
2006-09-29,546,1,0.273821
2006-10-09,545,1,0.27332
2006-10-10,545,1,0.27332
2006-10-11,543,1,0.272317
2006-10-12,543,1,0.272317
2006-10-13,542,0,0.271815
2006-10-16,544,0,0.272818
2006-10-17,548,0,0.274824
2006-10-18,553,0,0.277332
2006-10-19,549,0,0.275326
2006-10-20,545,0,0.27332
2006-10-23,543,0,0.272317
2006-10-24,549,0,0.275326
2006-10-25,552,0,0.27683
2006-10-26,552,0,0.27683
2006-10-27,555,0,0.278335
2006-10-30,553,0,0.277332
2006-10-31,553,0,0.277332
2006-11-01,554,0,0.277834
2006-11-02,552,0,0.27683
2006-11-03,553,0,0.277332
2006-11-06,554,0,0.277834
2006-11-07,552,0,0.27683
2006-11-08,550,0,0.275827
2006-11-09,555,0,0.278335
2006-11-10,553,0,0.277332
2006-11-13,557,0,0.279338
2006-11-14,553,0,0.277332
2006-11-15,556,0,0.278837
2006-11-16,559,0,0.280341
2006-11-17,561,0,0.281344
2006-11-20,558,0,0.27984
2006-11-21,561,0,0.281344
2006-11-22,561,0,0.281344
2006-11-23,559,0,0.280341
2006-11-24,558,0,0.27984
2006-11-27,555,0,0.278335
2006-11-28,558,0,0.27984
2006-11-29,560,0,0.280843
2006-11-30,561,0,0.281344
2006-12-01,559,0,0.280341
2006-12-04,558,0,0.27984
2006-12-05,555,0,0.278335
2006-12-06,556,0,0.278837
2006-12-07,554,0,0.277834
2006-12-08,554,0,0.277834
2006-12-11,556,0,0.278837
2006-12-12,556,0,0.278837
2006-12-13,561,0,0.281344
2006-12-14,557,0,0.279338
2006-12-15,556,0,0.278837
2006-12-18,550,0,0.275827
2006-12-19,555,0,0.278335
2006-12-20,553,0,0.277332
2006-12-21,550,0,0.275827
2006-12-22,549,0,0.275326
2006-12-25,544,0,0.272818
2006-12-26,551,0,0.276329
2006-12-27,550,0,0.275827
2006-12-28,544,0,0.272818
2006-12-29,546,0,0.273821
2007-01-04,543,0,0.272317
2007-01-05,549,0,0.275326
2007-01-08,554,0,0.277834
2007-01-09,554,0,0.277834
2007-01-10,561,0,0.281344
2007-01-11,560,0,0.280843
2007-01-12,556,0,0.278837
2007-01-15,551,0,0.276329
2007-01-16,559,0,0.280341
2007-01-17,563,0,0.282347
2007-01-18,565,0,0.28335
2007-01-19,562,0,0.281846
2007-01-22,563,0,0.282347
2007-01-23,568,0,0.284855
2007-01-24,569,0,0.285356
2007-01-25,562,0,0.281846
2007-01-26,565,0,0.28335
2007-01-29,558,0,0.27984
2007-01-30,566,0,0.283852
2007-01-31,566,0,0.283852
2007-02-01,565,0,0.28335
2007-02-02,563,0,0.282347
2007-02-05,559,0,0.280341
2007-02-06,561,0,0.281344
2007-02-07,563,0,0.282347
2007-02-08,559,0,0.280341
2007-02-09,559,0,0.280341
2007-02-12,554,0,0.277834
2007-02-13,562,0,0.281846
2007-02-14,566,0,0.283852
2007-02-15,564,0,0.282849
2007-02-16,572,0,0.286861
2007-02-26,569,0,0.285356
2007-02-27,573,0,0.287362
2007-02-28,562,0,0.281846
2007-03-01,572,0,0.286861
2007-03-02,573,0,0.287362
2007-03-05,564,0,0.282849
2007-03-06,567,0,0.284353
2007-03-07,574,0,0.287864
2007-03-08,571,0,0.286359
2007-03-09,571,0,0.286359
2007-03-12,572,0,0.286861
2007-03-13,576,0,0.288867
2007-03-14,574,0,0.287864
2007-03-15,573,0,0.287362
2007-03-16,570,0,0.285858
2007-03-19,569,0,0.285356
2007-03-20,570,0,0.285858
2007-03-21,576,0,0.288867
2007-03-22,575,0,0.288365
2007-03-23,570,0,0.285858
2007-03-26,565,0,0.28335
2007-03-27,575,0,0.288365
2007-03-28,574,0,0.287864
2007-03-29,579,0,0.290371
2007-03-30,577,0,0.289368
2007-04-02,576,0,0.288867
2007-04-03,579,0,0.290371
2007-04-04,585,0,0.29338
2007-04-05,583,0,0.292377
2007-04-06,570,0,0.285858
2007-04-09,580,0,0.290873
2007-04-10,577,0,0.289368
2007-04-11,584,0,0.292879
2007-04-12,571,0,0.286359
2007-04-13,577,0,0.289368
2007-04-16,576,0,0.288867
2007-04-17,581,0,0.291374
2007-04-18,570,0,0.285858
2007-04-19,568,0,0.284855
2007-04-20,568,0,0.284855
2007-04-23,571,0,0.286359
2007-04-24,577,1,0.289368
2007-04-25,562,1,0.281846
2007-04-26,556,1,0.278837
2007-04-27,559,1,0.280341
2007-04-30,549,1,0.275326
2007-05-08,568,1,0.284855
2007-05-09,568,1,0.284855
2007-05-10,558,1,0.27984
2007-05-11,549,2,0.275326
2007-05-14,562,2,0.281846
2007-05-15,547,2,0.274323
2007-05-16,560,2,0.280843
2007-05-17,571,2,0.286359
2007-05-18,535,0,0.268305
2007-05-21,570,0,0.285858
2007-05-22,567,0,0.284353
2007-05-23,560,0,0.280843
2007-05-24,568,0,0.284855
2007-05-25,560,0,0.280843
2007-05-28,561,0,0.281344
2007-05-29,567,0,0.284353
2007-05-30,563,0,0.282347
2007-05-31,576,0,0.288867
2007-06-01,574,0,0.287864
2007-06-04,574,0,0.287864
2007-06-05,576,0,0.288867
2007-06-06,577,0,0.289368
2007-06-07,580,0,0.290873
2007-06-08,574,1,0.287864
2007-06-11,581,1,0.291374
