date,close_count,warmup_eligible_count,close_coverage_ratio
2006-01-04,312,1,0.26
2006-01-05,321,1,0.2675
2006-01-06,329,1,0.274167
2006-01-09,325,1,0.270833
2006-01-10,324,1,0.27
2006-01-11,327,1,0.2725
2006-01-12,326,1,0.271667
2006-01-13,320,1,0.266667
2006-01-16,312,1,0.26
2006-01-17,314,1,0.261667
2006-01-18,315,1,0.2625
2006-01-19,317,1,0.264167
2006-01-20,318,1,0.265
2006-01-23,300,1,0.25
2006-01-24,309,1,0.2575
2006-01-25,313,1,0.260833
2006-02-06,312,1,0.26
2006-02-07,315,1,0.2625
2006-02-08,317,1,0.264167
2006-02-09,318,1,0.265
2006-02-10,322,1,0.268333
2006-02-13,316,1,0.263333
2006-02-14,319,1,0.265833
2006-02-15,325,1,0.270833
2006-02-16,325,1,0.270833
2006-02-17,328,1,0.273333
2006-02-20,316,1,0.263333
2006-02-21,319,1,0.265833
2006-02-22,322,1,0.268333
2006-02-23,327,1,0.2725
2006-02-24,328,1,0.273333
2006-02-27,302,0,0.251667
2006-02-28,303,0,0.2525
2006-03-01,303,0,0.2525
2006-03-02,301,0,0.250833
2006-03-03,302,0,0.251667
2006-03-06,289,0,0.240833
2006-03-07,291,0,0.2425
2006-03-08,292,0,0.243333
2006-03-09,303,0,0.2525
2006-03-10,302,0,0.251667
2006-03-13,299,0,0.249167
2006-03-14,302,0,0.251667
2006-03-15,305,0,0.254167
2006-03-16,308,0,0.256667
2006-03-17,308,0,0.256667
2006-03-20,296,0,0.246667
2006-03-21,298,0,0.248333
2006-03-22,296,0,0.246667
2006-03-23,297,0,0.2475
2006-03-24,302,0,0.251667
2006-03-27,286,0,0.238333
2006-03-28,285,0,0.2375
2006-03-29,293,0,0.244167
2006-03-30,292,0,0.243333
2006-03-31,291,0,0.2425
2006-04-03,293,0,0.244167
2006-04-04,294,0,0.245
2006-04-05,296,0,0.246667
2006-04-06,298,0,0.248333
2006-04-07,297,0,0.2475
2006-04-10,288,0,0.24
2006-04-11,295,0,0.245833
2006-04-12,298,0,0.248333
2006-04-13,300,0,0.25
2006-04-14,301,0,0.250833
2006-04-17,302,0,0.251667
2006-04-18,296,0,0.246667
2006-04-19,303,0,0.2525
2006-04-20,301,0,0.250833
2006-04-21,304,0,0.253333
2006-04-24,300,0,0.25
2006-04-25,305,0,0.254167
2006-04-26,306,0,0.255
2006-04-27,310,0,0.258333
2006-04-28,309,0,0.2575
2006-05-08,294,0,0.245
2006-05-09,303,0,0.2525
2006-05-10,308,0,0.256667
2006-05-11,314,0,0.261667
2006-05-12,302,1,0.251667
2006-05-15,298,1,0.248333
2006-05-16,306,1,0.255
2006-05-17,314,1,0.261667
2006-05-18,308,1,0.256667
2006-05-19,302,1,0.251667
2006-05-22,304,1,0.253333
2006-05-23,307,0,0.255833
2006-05-24,315,0,0.2625
2006-05-25,306,0,0.255
2006-05-26,299,1,0.249167
2006-05-29,305,1,0.254167
2006-05-30,305,1,0.254167
2006-05-31,317,1,0.264167
2006-06-01,320,1,0.266667
2006-06-02,314,1,0.261667
2006-06-05,309,1,0.2575
