code,exists,load_error,first_date,last_date,calendar_years,rows_total,rows_in_window,duplicate_dates,missing_columns,close_nan_ratio,volume_nan_ratio,amount_nan_ratio,invalid_close_count,spans_requested_window,strict_20y_quality_ok,path
000009,True,,2000-01-04,2026-06-25,26.47,6205,4787,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000009.parquet
000019,True,,2000-01-04,2026-06-25,26.47,6036,4597,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000019.parquet
000021,True,,2000-01-04,2026-06-25,26.47,6312,4884,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000021.parquet
000027,True,,2000-01-04,2026-06-25,26.47,6280,4849,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000027.parquet
000028,True,,2000-01-04,2026-06-25,26.47,6232,4803,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000028.parquet
000035,True,,2000-01-04,2026-06-25,26.47,5293,3916,0,,0.0,0.0,0.0,0,True,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000035.parquet
000039,True,,2000-01-04,2026-06-25,26.47,6306,4882,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000039.parquet
000048,True,,2000-01-04,2026-06-25,26.47,6163,4748,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000048.parquet
000049,True,,2000-01-04,2026-06-25,26.47,6248,4919,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000049.parquet
000050,True,,2000-01-04,2026-06-25,26.47,6128,4703,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000050.parquet
000058,True,,2000-01-04,2026-06-25,26.47,5891,4464,0,,0.0,0.0,0.0,0,True,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000058.parquet
000059,True,,2000-01-04,2026-06-25,26.47,6235,4826,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000059.parquet
000060,True,,2000-01-04,2026-06-25,26.47,6329,4932,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000060.parquet
000061,True,,2000-01-04,2026-06-25,26.47,6126,4738,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000061.parquet
000065,True,,2000-01-04,2026-06-25,26.47,6204,4795,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000065.parquet
000088,True,,2000-01-04,2026-06-25,26.47,6263,4836,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000088.parquet
000155,True,,2000-09-26,2026-06-25,25.74,5574,4319,0,,0.0,0.0,0.0,0,True,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000155.parquet
000400,True,,2000-01-04,2026-06-25,26.47,6137,4722,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000400.parquet
000403,True,,2000-01-04,2026-06-25,26.47,4631,3199,0,,0.0,0.0,0.0,0,True,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000403.parquet
000422,True,,2000-01-04,2026-06-25,26.47,6275,4848,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000422.parquet
000423,True,,2000-01-04,2026-06-25,26.47,6253,4822,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000423.parquet
000503,True,,2000-01-04,2026-06-25,26.47,6090,4676,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000503.parquet
000513,True,,2000-01-04,2026-06-25,26.47,6105,4679,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000513.parquet
000519,True,,2000-01-04,2026-06-25,26.47,6136,4704,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000519.parquet
000537,True,,2000-01-04,2026-06-25,26.47,6176,4748,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000537.parquet
000543,True,,2000-01-04,2026-06-25,26.47,6333,4897,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000543.parquet
000550,True,,2000-01-04,2026-06-25,26.47,6333,4937,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000550.parquet
000555,True,,2000-01-04,2026-06-25,26.47,5893,4476,0,,0.0,0.0,0.0,0,True,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000555.parquet
000557,True,,2000-01-04,2026-06-25,26.47,4874,3617,0,,0.0,0.0,0.0,0,True,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000557.parquet
000559,True,,2000-01-04,2026-06-25,26.47,6342,4911,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000559.parquet
000563,True,,2000-01-04,2026-06-25,26.47,6221,4791,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000563.parquet
000567,True,,2000-01-04,2026-06-25,26.47,6305,4883,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000567.parquet
000582,True,,2000-01-04,2026-06-25,26.47,5984,4556,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000582.parquet
000589,True,,2000-01-04,2026-06-25,26.47,6352,4919,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000589.parquet
000591,True,,2000-01-04,2026-06-25,26.47,6215,4788,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000591.parquet
000597,True,,2000-01-04,2026-06-25,26.47,6294,4872,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000597.parquet
000598,True,,2000-01-04,2026-06-25,26.47,6323,4892,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000598.parquet
000600,True,,2000-01-04,2026-06-25,26.47,6142,4834,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000600.parquet
000603,True,,2000-01-04,2026-06-25,26.47,5583,4156,0,,0.0,0.0,0.0,0,True,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000603.parquet
000612,True,,2000-01-04,2026-06-25,26.47,6064,4637,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000612.parquet
000623,True,,2000-01-04,2026-06-25,26.47,6275,4872,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000623.parquet
000629,True,,2000-01-04,2026-06-25,26.47,5805,4397,0,,0.0,0.0,0.0,0,True,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000629.parquet
000636,True,,2000-01-04,2026-06-25,26.47,6167,4740,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000636.parquet
000657,True,,2000-01-04,2026-06-25,26.47,5360,3931,0,,0.0,0.0,0.0,0,True,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000657.parquet
000672,True,,2000-01-04,2026-06-25,26.47,4754,3326,0,,0.0,0.0,0.0,0,True,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000672.parquet
000676,True,,2000-01-04,2026-06-25,26.47,6063,4629,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000676.parquet
000681,True,,2000-01-04,2026-06-25,26.47,5094,3667,0,,0.0,0.0,0.0,0,True,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000681.parquet
000682,True,,2000-01-04,2026-06-25,26.47,6088,4659,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000682.parquet
000683,True,,2000-01-04,2026-06-25,26.47,6184,4764,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000683.parquet
000685,True,,2000-01-04,2026-06-25,26.47,6290,4873,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000685.parquet
000686,True,,2000-01-04,2026-06-25,26.47,6160,4727,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000686.parquet
000688,True,,2000-01-04,2026-06-25,26.47,4654,3226,0,,0.0,0.0,0.0,0,True,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000688.parquet
000703,True,,2000-01-04,2026-06-25,26.47,6235,4802,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000703.parquet
000709,True,,2000-01-04,2026-06-25,26.47,6199,4797,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000709.parquet
000712,True,,2000-01-04,2026-06-25,26.47,6044,4612,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000712.parquet
000727,True,,2000-01-04,2026-06-25,26.47,6198,4772,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000727.parquet
000728,True,,2000-01-04,2026-06-25,26.47,6096,4666,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000728.parquet
000729,True,,2000-01-04,2026-06-25,26.47,6354,4922,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000729.parquet
000738,True,,2000-01-04,2026-06-25,26.47,6276,4855,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000738.parquet
000739,True,,2000-01-04,2026-06-25,26.47,6268,4840,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000739.parquet
000750,True,,2000-01-04,2026-06-25,26.47,5201,3771,0,,0.0,0.0,0.0,0,True,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000750.parquet
000756,True,,2000-01-04,2026-06-25,26.47,6270,4844,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000756.parquet
000758,True,,2000-01-04,2026-06-25,26.47,6284,4858,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000758.parquet
000761,True,,2000-01-04,2026-06-25,26.47,6278,4879,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000761.parquet
000762,True,,2000-01-04,2026-06-25,26.47,6271,4866,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000762.parquet
000767,True,,2000-01-04,2026-06-25,26.47,6224,4814,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000767.parquet
000783,True,,2000-01-04,2026-06-25,26.47,6108,4679,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000783.parquet
000785,True,,2000-01-04,2026-06-25,26.47,6167,4735,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000785.parquet
000795,True,,2000-01-04,2026-06-25,26.47,6198,4769,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000795.parquet
000811,True,,2000-01-04,2026-06-25,26.47,6270,4837,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000811.parquet
000825,True,,2000-01-04,2026-06-25,26.47,6243,4817,0,,0.0,0.0,0.0,0,True,True,/home/hermes/.hermes/projects/lianghua/data/parquet/000825.parquet
