code,exists,load_error,first_date,last_date,calendar_years,rows_total,rows_in_window,duplicate_dates,missing_columns,close_nan_ratio,volume_nan_ratio,amount_nan_ratio,invalid_close_count,spans_requested_window,strict_20y_quality_ok,path
000001,True,,2006-01-04,2026-06-09,20.43,4957,4954,0,,0.0,0.0,0.0,0,False,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000001.parquet
000002,True,,2006-01-04,2026-06-09,20.43,4957,4954,0,,0.0,0.0,0.0,0,False,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000002.parquet
000009,True,,2006-01-04,2026-06-09,20.43,4957,4954,0,,0.0,0.0,0.0,0,False,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000009.parquet
000019,True,,2006-01-04,2026-06-09,20.43,4957,4954,0,,0.0,0.0,0.0,0,False,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000019.parquet
000021,True,,2006-01-04,2026-06-09,20.43,4957,4954,0,,0.0,0.0,0.0,0,False,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000021.parquet
000027,True,,2006-01-04,2026-06-09,20.43,4957,4954,0,,0.0,0.0,0.0,0,False,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000027.parquet
000028,True,,2006-01-04,2026-06-09,20.43,4957,4954,0,,0.0,0.0,0.0,0,False,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000028.parquet
000032,True,,2006-01-04,2026-06-09,20.43,4957,4954,0,,0.0,0.0,0.0,0,False,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000032.parquet
000034,True,,2006-01-04,2026-06-09,20.43,4957,4954,0,,0.0,0.0,0.0,0,False,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000034.parquet
000035,True,,2006-01-04,2026-06-09,20.43,4957,4954,0,,0.0,0.0,0.0,0,False,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000035.parquet
000039,True,,2006-01-04,2026-06-09,20.43,4957,4954,0,,0.0,0.0,0.0,0,False,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000039.parquet
000048,True,,2006-01-04,2026-06-09,20.43,4957,4954,0,,0.0,0.0,0.0,0,False,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000048.parquet
000049,True,,2006-01-04,2026-06-09,20.43,4957,4954,0,,0.0,0.001211,0.0,0,False,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000049.parquet
000050,True,,2006-01-04,2026-06-09,20.43,4957,4954,0,,0.0,0.0,0.0,0,False,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000050.parquet
000058,True,,2006-01-04,2026-06-09,20.43,4957,4954,0,,0.0,0.0,0.0,0,False,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000058.parquet
000059,True,,2006-01-04,2026-06-09,20.43,4957,4954,0,,0.0,0.0,0.0,0,False,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000059.parquet
000060,True,,2006-01-04,2026-06-09,20.43,4957,4954,0,,0.0,0.0,0.0,0,False,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000060.parquet
000061,True,,2006-01-04,2026-06-09,20.43,4957,4954,0,,0.0,0.0,0.0,0,False,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000061.parquet
000062,True,,2006-01-04,2026-06-09,20.43,4957,4954,0,,0.0,0.0,0.0,0,False,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000062.parquet
000063,True,,2006-01-04,2026-06-09,20.43,4957,4954,0,,0.0,0.0,0.0,0,False,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000063.parquet
000065,True,,2006-01-04,2026-06-09,20.43,4957,4954,0,,0.0,0.001211,0.0,0,False,False,/home/hermes/.hermes/projects/lianghua/data/parquet/000065.parquet
