label,candidate,leading_passes,sharpe_ratio,avg_oos_sharpe,min_oos_sharpe,max_drawdown,win_rate,sharpe_decay,annual_return,annual_volatility,total_return,failures
base,v29_price_meta_longhorizon_guard,True,2.1714,2.6239,0.5675,-0.0833,0.5727,-0.046,0.1744,0.0688,21.7083,
param_base_gross_0.90x,v29_price_meta_longhorizon_guard,True,2.1714,2.6239,0.5675,-0.0833,0.5727,-0.046,0.1744,0.0688,21.7083,
param_base_gross_1.10x,v29_price_meta_longhorizon_guard,True,2.1714,2.6239,0.5675,-0.0833,0.5727,-0.046,0.1744,0.0688,21.7083,
param_bull_gross_0.90x,v29_price_meta_longhorizon_guard,True,2.0579,2.536,0.5533,-0.0839,0.5716,-0.0581,0.1608,0.066,16.7903,
param_bull_gross_1.10x,v29_price_meta_longhorizon_guard,True,2.2595,2.6955,0.5809,-0.0835,0.5731,-0.0347,0.1874,0.0719,27.6038,
param_neutral_gross_0.90x,v29_price_meta_longhorizon_guard,True,2.1952,2.6747,0.5976,-0.0834,0.5731,-0.043,0.1721,0.067,20.816,
param_neutral_gross_1.10x,v29_price_meta_longhorizon_guard,True,2.1313,2.5685,0.5394,-0.0839,0.5703,-0.0493,0.176,0.0708,22.291,
param_risk_off_gross_0.90x,v29_price_meta_longhorizon_guard,True,2.1946,2.6532,0.6274,-0.0831,0.5718,-0.0461,0.1757,0.0687,22.2465,
param_risk_off_gross_1.10x,v29_price_meta_longhorizon_guard,True,2.1426,2.5943,0.5078,-0.0834,0.5736,-0.046,0.1728,0.069,21.0336,
param_vol_target_0.90x,v29_price_meta_longhorizon_guard,True,2.1273,2.6384,0.6559,-0.0831,0.5705,-0.0549,0.1615,0.0642,17.0674,
param_vol_target_1.10x,v29_price_meta_longhorizon_guard,True,2.1976,2.6054,0.4729,-0.0836,0.5703,-0.0391,0.1864,0.0734,27.0238,
carry_fraction_0.04,v29_price_meta_longhorizon_guard,False,2.0991,2.5646,0.622,-0.101,0.5711,-0.0545,0.1789,0.0733,23.4965,max_drawdown:-0.101 >= -0.1 failed
carry_fraction_0.06,v29_price_meta_longhorizon_guard,True,2.1069,2.5705,0.6174,-0.0997,0.5718,-0.0532,0.1785,0.0729,23.322,
carry_fraction_0.08,v29_price_meta_longhorizon_guard,True,2.114,2.5762,0.6127,-0.0983,0.5718,-0.0522,0.178,0.0724,23.1333,
carry_fraction_0.10,v29_price_meta_longhorizon_guard,True,2.1215,2.5807,0.6079,-0.0965,0.5703,-0.0506,0.1776,0.0719,22.9625,
carry_fraction_0.12,v29_price_meta_longhorizon_guard,True,2.129,2.5865,0.6029,-0.0948,0.5696,-0.0497,0.1772,0.0715,22.7998,
meta_cost_bps_5,v29_price_meta_longhorizon_guard,True,2.0897,2.5434,0.4591,-0.084,0.5711,-0.0481,0.1688,0.0688,19.5131,
meta_cost_bps_10,v29_price_meta_longhorizon_guard,False,1.9517,2.4087,0.2777,-0.0852,0.5681,-0.058,0.1589,0.0686,16.1361,full_sharpe:1.9517 >= 2.0 failed
meta_cost_bps_20,v29_price_meta_longhorizon_guard,False,1.6996,2.1386,-0.0857,-0.0876,0.5642,-0.0672,0.1417,0.0687,11.5385,full_sharpe:1.6996 >= 2.0 failed;min_oos_sharpe:-0.0857 >= 0.0 failed
stock_sleeve_cost_2.0x,v29_price_meta_longhorizon_guard,True,2.0817,2.5265,0.483,-0.0841,0.5694,-0.0469,0.168,0.0687,19.2142,
stock_sleeve_cost_3.0x,v29_price_meta_longhorizon_guard,False,1.9989,2.432,0.407,-0.0848,0.5657,-0.0485,0.1622,0.0686,17.1912,full_sharpe:1.9989 >= 2.0 failed
