label,candidate,leading_passes,sharpe_ratio,avg_oos_sharpe,min_oos_sharpe,max_drawdown,win_rate,sharpe_decay,annual_return,annual_volatility,total_return,failures
base,v29_price_meta_longhorizon_guard,False,2.0467,1.8616,-0.2587,-0.0557,0.5752,0.0563,0.1399,0.0561,11.4234,min_oos_sharpe:-0.2587 >= 0.0 failed
param_base_gross_0.90x,v29_price_meta_longhorizon_guard,False,2.0467,1.8616,-0.2587,-0.0557,0.5752,0.0563,0.1399,0.0561,11.4234,min_oos_sharpe:-0.2587 >= 0.0 failed
param_base_gross_1.10x,v29_price_meta_longhorizon_guard,False,2.0467,1.8616,-0.2587,-0.0557,0.5752,0.0563,0.1399,0.0561,11.4234,min_oos_sharpe:-0.2587 >= 0.0 failed
param_bull_gross_0.90x,v29_price_meta_longhorizon_guard,False,1.9461,1.7648,-0.2916,-0.0559,0.5759,0.0579,0.128,0.0529,9.0492,full_sharpe:1.9461 >= 2.0 failed;min_oos_sharpe:-0.2916 >= 0.0 failed
param_bull_gross_1.10x,v29_price_meta_longhorizon_guard,False,2.1336,1.9511,-0.2269,-0.0565,0.5752,0.0519,0.1518,0.0594,14.4001,min_oos_sharpe:-0.2269 >= 0.0 failed
param_neutral_gross_0.90x,v29_price_meta_longhorizon_guard,False,2.0856,1.8892,-0.2841,-0.0554,0.5754,0.0656,0.1378,0.0541,10.9914,min_oos_sharpe:-0.2841 >= 0.0 failed
param_neutral_gross_1.10x,v29_price_meta_longhorizon_guard,False,2.0042,1.829,-0.2363,-0.057,0.575,0.0489,0.1418,0.0583,11.8463,min_oos_sharpe:-0.2363 >= 0.0 failed
param_risk_off_gross_0.90x,v29_price_meta_longhorizon_guard,False,2.0744,1.8891,-0.2221,-0.0565,0.5748,0.0563,0.141,0.0559,11.6817,min_oos_sharpe:-0.2221 >= 0.0 failed
param_risk_off_gross_1.10x,v29_price_meta_longhorizon_guard,False,2.0169,1.8291,-0.2947,-0.0564,0.5748,0.0587,0.1386,0.0563,11.1517,min_oos_sharpe:-0.2947 >= 0.0 failed
param_vol_target_0.90x,v29_price_meta_longhorizon_guard,False,2.0266,1.8443,-0.2706,-0.0534,0.575,0.0659,0.128,0.0508,9.0566,min_oos_sharpe:-0.2706 >= 0.0 failed
param_vol_target_1.10x,v29_price_meta_longhorizon_guard,False,2.0599,1.882,-0.2377,-0.0585,0.5744,0.0459,0.151,0.0611,14.1279,min_oos_sharpe:-0.2377 >= 0.0 failed
carry_fraction_0.04,v29_price_meta_longhorizon_guard,False,2.1014,1.8955,-0.2104,-0.0567,0.577,0.0647,0.1429,0.0561,12.138,min_oos_sharpe:-0.2104 >= 0.0 failed
carry_fraction_0.06,v29_price_meta_longhorizon_guard,False,2.096,1.8918,-0.215,-0.0567,0.5765,0.0642,0.1426,0.0561,12.0663,min_oos_sharpe:-0.215 >= 0.0 failed
carry_fraction_0.08,v29_price_meta_longhorizon_guard,False,2.0907,1.8882,-0.2196,-0.0568,0.5763,0.0636,0.1423,0.0561,11.9949,min_oos_sharpe:-0.2196 >= 0.0 failed
carry_fraction_0.10,v29_price_meta_longhorizon_guard,False,2.087,1.8893,-0.2242,-0.0553,0.5759,0.0607,0.1421,0.0561,11.9444,min_oos_sharpe:-0.2242 >= 0.0 failed
carry_fraction_0.12,v29_price_meta_longhorizon_guard,False,2.0816,1.8856,-0.2288,-0.0554,0.5754,0.0601,0.1418,0.0561,11.8737,min_oos_sharpe:-0.2288 >= 0.0 failed
meta_cost_bps_5,v29_price_meta_longhorizon_guard,False,1.9485,1.7518,-0.3596,-0.0572,0.5737,0.0604,0.1344,0.0562,10.2514,full_sharpe:1.9485 >= 2.0 failed;min_oos_sharpe:-0.3596 >= 0.0 failed
meta_cost_bps_10,v29_price_meta_longhorizon_guard,False,1.7762,1.5759,-0.5278,-0.0575,0.5707,0.057,0.1248,0.0562,8.4372,full_sharpe:1.7762 >= 2.0 failed;min_oos_sharpe:-0.5278 >= 0.0 failed
meta_cost_bps_20,v29_price_meta_longhorizon_guard,False,1.3491,0.9308,-1.2262,-0.0633,0.5665,0.2557,0.0973,0.0536,4.7346,full_sharpe:1.3491 >= 2.0 failed;avg_oos_sharpe:0.9308 >= 1.5 failed;sharpe_decay:0.2557 <= 0.15 failed;min_oos_sharpe:-1.2262 >= 0.0 failed
stock_sleeve_cost_2.0x,v29_price_meta_longhorizon_guard,False,1.9532,1.7505,-0.3551,-0.0568,0.572,0.0632,0.1344,0.056,10.2597,full_sharpe:1.9532 >= 2.0 failed;min_oos_sharpe:-0.3551 >= 0.0 failed
stock_sleeve_cost_3.0x,v29_price_meta_longhorizon_guard,False,1.8657,1.6537,-0.4462,-0.0568,0.5685,0.0666,0.1295,0.056,9.2819,full_sharpe:1.8657 >= 2.0 failed;min_oos_sharpe:-0.4462 >= 0.0 failed
