label,candidate,leading_passes,sharpe_ratio,avg_oos_sharpe,min_oos_sharpe,max_drawdown,win_rate,sharpe_decay,annual_return,annual_volatility,total_return,failures
base,v29_price_meta_ultradefensive,False,2.0848,1.7043,-0.605,-0.0398,0.5889,0.1665,0.1001,0.036,4.7876,sharpe_decay:0.1665 <= 0.15 failed;min_oos_sharpe:-0.605 >= 0.0 failed
param_base_gross_0.90x,v29_price_meta_ultradefensive,False,2.0848,1.7043,-0.605,-0.0398,0.5889,0.1665,0.1001,0.036,4.7876,sharpe_decay:0.1665 <= 0.15 failed;min_oos_sharpe:-0.605 >= 0.0 failed
param_base_gross_1.10x,v29_price_meta_ultradefensive,False,2.0848,1.7043,-0.605,-0.0398,0.5889,0.1665,0.1001,0.036,4.7876,sharpe_decay:0.1665 <= 0.15 failed;min_oos_sharpe:-0.605 >= 0.0 failed
param_bull_gross_0.90x,v29_price_meta_ultradefensive,False,1.9899,1.6302,-0.6106,-0.0384,0.5891,0.1652,0.0926,0.034,4.0763,full_sharpe:1.9899 >= 2.0 failed;sharpe_decay:0.1652 <= 0.15 failed;min_oos_sharpe:-0.6106 >= 0.0 failed
param_bull_gross_1.10x,v29_price_meta_ultradefensive,False,2.1644,1.7657,-0.599,-0.0412,0.5884,0.1682,0.1076,0.0382,5.5977,sharpe_decay:0.1682 <= 0.15 failed;min_oos_sharpe:-0.599 >= 0.0 failed
param_neutral_gross_0.90x,v29_price_meta_ultradefensive,False,2.1337,1.7244,-0.6592,-0.0371,0.5905,0.1776,0.0991,0.0347,4.685,sharpe_decay:0.1776 <= 0.15 failed;min_oos_sharpe:-0.6592 >= 0.0 failed
param_neutral_gross_1.10x,v29_price_meta_ultradefensive,False,2.0346,1.6805,-0.5588,-0.0425,0.5871,0.1564,0.1012,0.0374,4.8916,sharpe_decay:0.1564 <= 0.15 failed;min_oos_sharpe:-0.5588 >= 0.0 failed
param_risk_off_gross_0.90x,v29_price_meta_ultradefensive,False,2.1154,1.7309,-0.5648,-0.0396,0.5891,0.1649,0.101,0.0359,4.8768,sharpe_decay:0.1649 <= 0.15 failed;min_oos_sharpe:-0.5648 >= 0.0 failed
param_risk_off_gross_1.10x,v29_price_meta_ultradefensive,False,2.0538,1.6777,-0.6443,-0.04,0.5869,0.1681,0.0993,0.0362,4.6997,sharpe_decay:0.1681 <= 0.15 failed;min_oos_sharpe:-0.6443 >= 0.0 failed
param_vol_target_0.90x,v29_price_meta_ultradefensive,False,2.0765,1.682,-0.6423,-0.0355,0.5909,0.1753,0.0925,0.0325,4.0692,sharpe_decay:0.1753 <= 0.15 failed;min_oos_sharpe:-0.6423 >= 0.0 failed
param_vol_target_1.10x,v29_price_meta_ultradefensive,False,2.087,1.7105,-0.5802,-0.0441,0.5855,0.1605,0.1073,0.0394,5.5517,sharpe_decay:0.1605 <= 0.15 failed;min_oos_sharpe:-0.5802 >= 0.0 failed
carry_fraction_0.04,v29_price_meta_ultradefensive,False,2.0658,1.6915,-0.6208,-0.0399,0.5866,0.1656,0.0994,0.036,4.7174,sharpe_decay:0.1656 <= 0.15 failed;min_oos_sharpe:-0.6208 >= 0.0 failed
carry_fraction_0.06,v29_price_meta_ultradefensive,False,2.0563,1.6851,-0.6287,-0.0399,0.5862,0.1652,0.0991,0.036,4.6826,sharpe_decay:0.1652 <= 0.15 failed;min_oos_sharpe:-0.6287 >= 0.0 failed
carry_fraction_0.08,v29_price_meta_ultradefensive,False,2.0468,1.6787,-0.6366,-0.04,0.586,0.1647,0.0987,0.036,4.6481,sharpe_decay:0.1647 <= 0.15 failed;min_oos_sharpe:-0.6366 >= 0.0 failed
carry_fraction_0.10,v29_price_meta_ultradefensive,False,2.0373,1.6722,-0.6446,-0.0401,0.5851,0.1642,0.0984,0.036,4.6137,sharpe_decay:0.1642 <= 0.15 failed;min_oos_sharpe:-0.6446 >= 0.0 failed
carry_fraction_0.12,v29_price_meta_ultradefensive,False,2.0278,1.6658,-0.6525,-0.0401,0.5846,0.1638,0.098,0.036,4.5795,sharpe_decay:0.1638 <= 0.15 failed;min_oos_sharpe:-0.6525 >= 0.0 failed
meta_cost_bps_5,v29_price_meta_ultradefensive,False,1.9339,1.5472,-0.7589,-0.0414,0.5849,0.1815,0.0947,0.0361,4.2637,full_sharpe:1.9339 >= 2.0 failed;sharpe_decay:0.1815 <= 0.15 failed;min_oos_sharpe:-0.7589 >= 0.0 failed
meta_cost_bps_10,v29_price_meta_ultradefensive,False,1.7446,1.3508,-0.9496,-0.0434,0.5801,0.2038,0.088,0.0361,3.6749,full_sharpe:1.7446 >= 2.0 failed;avg_oos_sharpe:1.3508 >= 1.5 failed;sharpe_decay:0.2038 <= 0.15 failed;min_oos_sharpe:-0.9496 >= 0.0 failed
