label,candidate,leading_passes,sharpe_ratio,avg_oos_sharpe,min_oos_sharpe,max_drawdown,win_rate,sharpe_decay,annual_return,annual_volatility,total_return,failures
base,v29_price_meta_lowvol_recent_guard,True,2.2568,2.4867,0.177,-0.0963,0.5726,-0.0004,0.2052,0.0798,3.591,
param_base_gross_0.90x,v29_price_meta_lowvol_recent_guard,True,2.2568,2.4867,0.177,-0.0963,0.5726,-0.0004,0.2052,0.0798,3.591,
param_base_gross_1.10x,v29_price_meta_lowvol_recent_guard,True,2.2568,2.4867,0.177,-0.0963,0.5726,-0.0004,0.2052,0.0798,3.591,
param_bull_gross_0.90x,v29_price_meta_lowvol_recent_guard,True,2.1447,2.3938,0.1656,-0.0981,0.5731,-0.0134,0.1915,0.0776,3.1458,
param_bull_gross_1.10x,v29_price_meta_lowvol_recent_guard,True,2.3582,2.5671,0.1881,-0.0952,0.5726,0.0098,0.219,0.0822,4.0852,
param_neutral_gross_0.90x,v29_price_meta_lowvol_recent_guard,True,2.2798,2.5203,0.1781,-0.0957,0.5752,0.0057,0.203,0.0781,3.5192,
param_neutral_gross_1.10x,v29_price_meta_lowvol_recent_guard,True,2.2301,2.4507,0.1756,-0.0969,0.572,-0.0065,0.2074,0.0818,3.6633,
param_risk_off_gross_0.90x,v29_price_meta_lowvol_recent_guard,True,2.2788,2.5131,0.232,-0.0962,0.5726,0.0003,0.2067,0.0797,3.6433,
param_risk_off_gross_1.10x,v29_price_meta_lowvol_recent_guard,True,2.2332,2.4587,0.1223,-0.0964,0.5726,-0.0008,0.2036,0.08,3.535,
param_vol_target_0.90x,v29_price_meta_lowvol_recent_guard,True,2.1979,2.463,0.2159,-0.0977,0.5762,-0.0034,0.1917,0.0759,3.1578,
param_vol_target_1.10x,v29_price_meta_lowvol_recent_guard,True,2.2865,2.489,0.1185,-0.096,0.5726,0.0012,0.2165,0.0838,3.9873,
carry_fraction_0.04,v29_price_meta_lowvol_recent_guard,False,2.2256,2.4737,0.202,-0.1019,0.5741,0.0027,0.2074,0.0819,3.6608,max_drawdown:-0.1019 >= -0.1 failed
carry_fraction_0.06,v29_price_meta_lowvol_recent_guard,False,2.2356,2.4775,0.1938,-0.1002,0.5736,0.0019,0.2066,0.0812,3.6366,max_drawdown:-0.1002 >= -0.1 failed
carry_fraction_0.08,v29_price_meta_lowvol_recent_guard,True,2.2462,2.4821,0.1855,-0.0982,0.5731,0.0008,0.2059,0.0805,3.6138,
carry_fraction_0.10,v29_price_meta_lowvol_recent_guard,True,2.2568,2.4867,0.177,-0.0963,0.5726,-0.0004,0.2052,0.0798,3.591,
carry_fraction_0.12,v29_price_meta_lowvol_recent_guard,True,2.2662,2.4901,0.1684,-0.0944,0.5726,-0.0013,0.2044,0.0792,3.5645,
meta_cost_bps_5,v29_price_meta_lowvol_recent_guard,True,2.1813,2.4084,0.0702,-0.097,0.5715,-0.0055,0.1992,0.0799,3.3894,
meta_cost_bps_10,v29_price_meta_lowvol_recent_guard,False,2.0552,2.2778,-0.1078,-0.0981,0.5689,-0.0151,0.1893,0.08,3.0727,min_oos_sharpe:-0.1078 >= 0.0 failed
meta_cost_bps_20,v29_price_meta_lowvol_recent_guard,False,1.8057,2.0224,-0.4294,-0.0999,0.5636,-0.0403,0.1697,0.0801,2.5121,full_sharpe:1.8057 >= 2.0 failed;min_oos_sharpe:-0.4294 >= 0.0 failed
stock_sleeve_cost_2.0x,v29_price_meta_lowvol_recent_guard,True,2.1698,2.395,0.0883,-0.097,0.5699,-0.0052,0.1979,0.0797,3.3462,
stock_sleeve_cost_3.0x,v29_price_meta_lowvol_recent_guard,True,2.0856,2.3054,0.0064,-0.0976,0.5673,-0.0101,0.1909,0.0796,3.1238,
