label,candidate,leading_passes,sharpe_ratio,avg_oos_sharpe,min_oos_sharpe,max_drawdown,win_rate,sharpe_decay,annual_return,annual_volatility,total_return,failures
base,v29_price_meta_lowvol_recent_guard,True,2.1838,2.4237,0.1607,-0.0982,0.571,-0.0146,0.1982,0.0793,3.3566,
param_base_gross_0.90x,v29_price_meta_lowvol_recent_guard,True,2.1838,2.4237,0.1607,-0.0982,0.571,-0.0146,0.1982,0.0793,3.3566,
param_base_gross_1.10x,v29_price_meta_lowvol_recent_guard,True,2.1838,2.4237,0.1607,-0.0982,0.571,-0.0146,0.1982,0.0793,3.3566,
param_bull_gross_0.90x,v29_price_meta_lowvol_recent_guard,False,2.0724,2.3301,0.1492,-0.1001,0.5715,-0.0283,0.1849,0.0772,2.9456,max_drawdown:-0.1001 >= -0.1 failed
param_bull_gross_1.10x,v29_price_meta_lowvol_recent_guard,True,2.2823,2.5024,0.1719,-0.0977,0.5699,-0.003,0.2114,0.0817,3.8046,
param_neutral_gross_0.90x,v29_price_meta_lowvol_recent_guard,True,2.2058,2.4556,0.1619,-0.0978,0.5731,-0.0079,0.1961,0.0776,3.2912,
param_neutral_gross_1.10x,v29_price_meta_lowvol_recent_guard,True,2.1576,2.3885,0.1592,-0.0989,0.5705,-0.021,0.2003,0.0812,3.4207,
param_risk_off_gross_0.90x,v29_price_meta_lowvol_recent_guard,True,2.2062,2.4504,0.2163,-0.0981,0.571,-0.0136,0.1997,0.0792,3.4072,
param_risk_off_gross_1.10x,v29_price_meta_lowvol_recent_guard,True,2.16,2.3953,0.1054,-0.0983,0.571,-0.0154,0.1966,0.0794,3.3026,
param_vol_target_0.90x,v29_price_meta_lowvol_recent_guard,True,2.1277,2.4009,0.2004,-0.0994,0.5741,-0.0182,0.1854,0.0754,2.9659,
param_vol_target_1.10x,v29_price_meta_lowvol_recent_guard,True,2.2115,2.4251,0.1016,-0.0981,0.5705,-0.0128,0.2089,0.0831,3.7106,
carry_fraction_0.04,v29_price_meta_lowvol_recent_guard,False,2.1527,2.4098,0.186,-0.1037,0.5726,-0.0109,0.2003,0.0814,3.4204,max_drawdown:-0.1037 >= -0.1 failed
carry_fraction_0.06,v29_price_meta_lowvol_recent_guard,False,2.1626,2.4138,0.1777,-0.1019,0.5726,-0.0119,0.1996,0.0807,3.3975,max_drawdown:-0.1019 >= -0.1 failed
carry_fraction_0.08,v29_price_meta_lowvol_recent_guard,False,2.1737,2.4192,0.1693,-0.1001,0.5715,-0.0134,0.1989,0.08,3.3781,max_drawdown:-0.1001 >= -0.1 failed
carry_fraction_0.10,v29_price_meta_lowvol_recent_guard,True,2.1838,2.4237,0.1607,-0.0982,0.571,-0.0146,0.1982,0.0793,3.3566,
carry_fraction_0.12,v29_price_meta_lowvol_recent_guard,True,2.192,2.4261,0.152,-0.0966,0.5705,-0.0152,0.1973,0.0786,3.3298,
meta_cost_bps_5,v29_price_meta_lowvol_recent_guard,True,2.108,2.345,0.0536,-0.0988,0.5694,-0.0208,0.1923,0.0793,3.1654,
meta_cost_bps_10,v29_price_meta_lowvol_recent_guard,False,1.9801,2.2126,-0.1249,-0.0999,0.5678,-0.0318,0.1823,0.0794,2.8623,full_sharpe:1.9801 >= 2.0 failed;min_oos_sharpe:-0.1249 >= 0.0 failed
meta_cost_bps_20,v29_price_meta_lowvol_recent_guard,False,1.7306,1.9583,-0.4358,-0.1021,0.562,-0.0625,0.1628,0.0796,2.3341,full_sharpe:1.7306 >= 2.0 failed;max_drawdown:-0.1021 >= -0.1 failed;min_oos_sharpe:-0.4358 >= 0.0 failed
stock_sleeve_cost_2.0x,v29_price_meta_lowvol_recent_guard,True,2.098,2.3311,0.0733,-0.0988,0.5699,-0.0195,0.1911,0.0792,3.1298,
stock_sleeve_cost_3.0x,v29_price_meta_lowvol_recent_guard,False,2.0155,2.2416,-0.0074,-0.0994,0.5647,-0.0245,0.1844,0.0791,2.925,min_oos_sharpe:-0.0074 >= 0.0 failed
