name,industry,production,sharpe,annual_return,mdd,win_rate,oos,min_oos,decay,avg_stock_exposure,avg_crisis_weight,avg_carry_weight
v32_scan_lowvol_blended_floor_g0.62_v0.130_c0.75_k0.25,True,True,2.0343,0.1777,-0.086,0.5646,2.359,0.0246,-0.0629,0.3297,0.5027,0.1676
v32_scan_lowvol_recent_guard_g0.60_v0.120_c0.75_k0.25,True,True,2.0302,0.1638,-0.0834,0.5652,2.398,0.161,-0.0763,0.2931,0.5302,0.1767
v32_scan_lowvol_recent_guard_g0.60_v0.115_c0.75_k0.25,True,True,2.0285,0.1595,-0.0833,0.5652,2.4013,0.198,-0.072,0.2824,0.5382,0.1794
v32_scan_lowvol_blended_floor_g0.62_v0.130_c0.82_k0.18,True,True,2.0246,0.1787,-0.0914,0.5646,2.3503,0.0505,-0.0596,0.3297,0.5497,0.1207
v32_scan_lowvol_blended_floor_g0.62_v0.125_c0.75_k0.25,True,True,2.0201,0.1723,-0.0852,0.5644,2.3574,0.0452,-0.0655,0.3188,0.5109,0.1703
v32_scan_lowvol_blended_floor_g0.62_v0.130_c0.86_k0.14,True,True,2.0175,0.1792,-0.0944,0.565,2.3428,0.0649,-0.0567,0.3297,0.5765,0.0938
v32_scan_lowvol_recent_guard_g0.60_v0.120_c0.82_k0.18,True,True,2.0156,0.1647,-0.0895,0.565,2.3837,0.1878,-0.0712,0.2931,0.5797,0.1273
v32_scan_lowvol_recent_guard_g0.58_v0.120_c0.75_k0.25,True,True,2.0148,0.1593,-0.0834,0.5657,2.3828,0.1543,-0.0725,0.2844,0.5367,0.1789
v32_scan_lowvol_recent_guard_g0.60_v0.115_c0.82_k0.18,True,True,2.0125,0.1605,-0.0895,0.5644,2.3861,0.2251,-0.0669,0.2824,0.5885,0.1292
v32_scan_lowvol_blended_floor_g0.60_v0.130_c0.75_k0.25,True,True,2.011,0.172,-0.0854,0.5646,2.344,0.0151,-0.0655,0.3201,0.5099,0.17
v32_scan_lowvol_blended_floor_g0.62_v0.130_c0.90_k0.10,True,True,2.0105,0.1797,-0.0975,0.5646,2.3365,0.0791,-0.0545,0.3297,0.6033,0.067
v32_scan_lowvol_blended_floor_g0.62_v0.125_c0.82_k0.18,True,True,2.0096,0.1733,-0.0906,0.5644,2.3479,0.0717,-0.0621,0.3188,0.5586,0.1226
v32_scan_lowvol_recent_guard_g0.60_v0.110_c0.75_k0.25,True,True,2.0079,0.1539,-0.0832,0.5652,2.4014,0.2225,-0.0757,0.2714,0.5464,0.1821
v32_scan_lowvol_recent_guard_g0.60_v0.120_c0.86_k0.14,True,True,2.0064,0.1653,-0.093,0.5648,2.375,0.2027,-0.0684,0.293,0.608,0.099
v32_scan_lowvol_blended_floor_g0.62_v0.120_c0.75_k0.25,True,True,2.0037,0.1668,-0.0846,0.565,2.3565,0.068,-0.0722,0.3077,0.5192,0.1731
v32_scan_lowvol_recent_guard_g0.60_v0.115_c0.86_k0.14,True,True,2.0025,0.161,-0.093,0.5642,2.377,0.2401,-0.064,0.2824,0.6172,0.1005
v32_scan_lowvol_blended_floor_g0.62_v0.125_c0.86_k0.14,True,True,2.002,0.1738,-0.0939,0.5652,2.3402,0.0864,-0.0591,0.3187,0.5859,0.0954
v32_scan_lowvol_blended_floor_g0.60_v0.130_c0.82_k0.18,True,True,2.0007,0.173,-0.0908,0.5648,2.335,0.0419,-0.0621,0.3201,0.5575,0.1224
v32_scan_balanced_crisis_g0.68_v0.150_c0.75_k0.25,False,True,2.0692,0.2119,-0.0924,0.5629,2.31,-0.0893,-0.0531,0.4067,0.445,0.1483
v32_scan_balanced_crisis_g0.68_v0.145_c0.75_k0.25,False,True,2.0683,0.2074,-0.0914,0.5627,2.3127,-0.1339,-0.0538,0.397,0.4523,0.1508
v32_scan_balanced_crisis_g0.68_v0.150_c0.82_k0.18,False,True,2.0624,0.2125,-0.0964,0.5629,2.2988,-0.0972,-0.0496,0.4067,0.4865,0.1068
v32_scan_balanced_crisis_g0.68_v0.145_c0.82_k0.18,False,True,2.0619,0.2082,-0.0966,0.5634,2.3059,-0.1113,-0.0504,0.397,0.4945,0.1085
v32_scan_balanced_crisis_g0.68_v0.145_c0.86_k0.14,False,True,2.0599,0.2088,-0.0986,0.5634,2.3086,-0.068,-0.0504,0.397,0.5186,0.0844
v32_scan_balanced_crisis_g0.68_v0.140_c0.75_k0.25,False,True,2.0585,0.2021,-0.0905,0.5632,2.3187,-0.1146,-0.0572,0.3866,0.4601,0.1534
v32_scan_balanced_crisis_g0.68_v0.150_c0.86_k0.14,False,True,2.0584,0.213,-0.0994,0.5632,2.2946,-0.0848,-0.0477,0.4067,0.5102,0.0831
v32_scan_balanced_crisis_g0.68_v0.145_c0.90_k0.10,False,True,2.0553,0.2093,-0.1016,0.5638,2.304,-0.0555,-0.0483,0.397,0.5427,0.0603
v32_scan_balanced_crisis_g0.68_v0.150_c0.90_k0.10,False,True,2.0542,0.2134,-0.1024,0.5634,2.2903,-0.0726,-0.0457,0.4067,0.534,0.0593
v32_scan_balanced_crisis_g0.68_v0.140_c0.82_k0.18,False,True,2.0531,0.203,-0.0957,0.5636,2.3168,-0.0647,-0.0547,0.3866,0.503,0.1104
v32_scan_balanced_crisis_g0.68_v0.135_c0.75_k0.25,False,True,2.0522,0.1969,-0.0896,0.5629,2.3182,-0.0953,-0.054,0.3758,0.4682,0.1561
v32_scan_balanced_crisis_g0.68_v0.140_c0.86_k0.14,False,True,2.0499,0.2036,-0.0978,0.5643,2.3146,-0.0519,-0.0537,0.3866,0.5276,0.0859
v32_scan_balanced_crisis_g0.68_v0.145_c0.95_k0.05,False,True,2.0499,0.2099,-0.1054,0.5638,2.3014,-0.0134,-0.0461,0.397,0.5729,0.0302
