name,capital,rank_mode,gross_profile,max_positions,small_account_minimum_gate_passes,small_account_executable_gate_passes,sharpe_ratio,annual_return,annual_volatility,max_drawdown,win_rate,total_return,final_nav,avg_holdings,avg_stock_exposure,avg_cash_weight,total_fees,fees_pct_initial_capital,orders,blocked_buys,blocked_sells,lot_blocked_targets,cash_blocked_buys,avg_oos_sharpe,min_oos_sharpe
v33_small_account_small_balanced_blend_100000_5pos,100000.0,blend,small_balanced,5,False,True,0.4123,0.0673,0.1026,-0.222,0.5401,2.1965,319647.81,5.3,0.2119,0.7881,45756.19,0.4576,4036,18,208,47,0,0.3901,-0.593
v33_small_account_small_balanced_defensive_100000_8pos,100000.0,defensive,small_balanced,8,False,True,0.3286,0.0627,0.1146,-0.273,0.5339,1.8895,288947.96,8.29,0.1716,0.8284,43356.04,0.4336,5780,29,343,167,1,-0.9346,-2.5111
v33_small_account_small_balanced_defensive_100000_5pos,100000.0,defensive,small_balanced,5,False,True,0.1964,0.0449,0.1011,-0.2278,0.5303,1.1127,211267.09,5.3,0.1865,0.8135,33530.91,0.3353,3784,20,248,79,0,-0.4997,-1.6484
v33_small_account_small_balanced_blend_100000_8pos,100000.0,blend,small_balanced,8,False,True,0.1914,0.0405,0.0808,-0.2213,0.5409,1.0048,200481.25,8.04,0.1638,0.8362,44655.75,0.4466,6043,32,258,184,0,-0.1217,-1.4719
v33_small_account_small_defensive_defensive_100000_5pos,100000.0,defensive,small_defensive,5,False,True,0.155,0.0449,0.1283,-0.2696,0.5018,1.0414,204141.37,4.89,0.1076,0.8924,24087.63,0.2409,3408,17,245,153,0,-2.9691,-5.1348
v33_small_account_small_balanced_defensive_100000_10pos,100000.0,defensive,small_balanced,10,False,True,0.1527,0.0363,0.074,-0.2108,0.5333,0.8714,187144.87,10.22,0.1736,0.8264,47442.13,0.4744,6881,30,456,269,0,-0.9819,-2.1898
v33_small_account_small_balanced_blend_50000_5pos,50000.0,blend,small_balanced,5,False,True,0.1407,0.0381,0.093,-0.223,0.5107,0.89,94501.7,4.83,0.1266,0.8734,22978.3,0.4596,3600,19,182,171,0,-0.8408,-2.5051
v33_small_account_small_balanced_defensive_50000_5pos,50000.0,defensive,small_balanced,5,False,True,0.1374,0.039,0.1022,-0.2348,0.5118,0.8956,94782.38,5.05,0.1666,0.8334,23545.62,0.4709,3518,18,237,123,0,-0.3389,-1.7806
v33_small_account_small_balanced_lowvol_reversal_100000_8pos,100000.0,lowvol_reversal,small_balanced,8,False,True,0.1127,0.0356,0.094,-0.2165,0.5299,0.7944,179437.87,7.78,0.176,0.824,44862.13,0.4486,5918,43,226,235,0,-0.2432,-2.8238
v33_small_account_small_balanced_defensive_100000_12pos,100000.0,defensive,small_balanced,12,False,True,0.108,0.0326,0.0705,-0.2104,0.5327,0.7549,175488.69,12.15,0.1848,0.8152,53270.31,0.5327,7981,39,606,405,0,-0.8601,-2.5002
v33_small_account_small_balanced_blend_100000_12pos,100000.0,blend,small_balanced,12,False,True,0.1067,0.0334,0.0789,-0.2053,0.5452,0.7611,176114.65,11.34,0.1941,0.8059,57229.35,0.5723,8355,33,303,472,0,0.4315,-0.968
v33_small_account_small_balanced_lowvol_reversal_100000_5pos,100000.0,lowvol_reversal,small_balanced,5,False,True,0.0781,0.0334,0.1069,-0.2574,0.5163,0.6944,169435.15,5.05,0.1326,0.8674,30147.85,0.3015,3883,30,176,105,0,-0.354,-3.0131
v33_small_account_small_balanced_ic_100000_5pos,100000.0,ic,small_balanced,5,False,True,0.0316,0.0286,0.1131,-0.2826,0.5214,0.5359,153588.03,4.84,0.1148,0.8852,28550.97,0.2855,3877,38,151,154,0,-0.4023,-2.096
v33_small_account_small_balanced_lowvol_reversal_50000_5pos,50000.0,lowvol_reversal,small_balanced,5,False,True,0.0036,0.0254,0.1113,-0.2626,0.4816,0.4527,72636.62,4.42,0.1164,0.8836,21001.38,0.42,3344,20,149,225,0,-0.6907,-2.8411
v33_small_account_small_balanced_ic_50000_5pos,50000.0,ic,small_balanced,5,False,True,-0.0368,0.0208,0.1132,-0.2786,0.482,0.3306,66530.09,4.29,0.1041,0.8959,20863.91,0.4173,3395,27,129,242,0,-0.8591,-3.4932
v33_small_account_small_balanced_blend_50000_8pos,50000.0,blend,small_balanced,8,False,True,-0.0465,0.0214,0.0774,-0.2353,0.4912,0.4139,70696.91,6.53,0.1042,0.8958,27378.09,0.5476,4747,22,222,443,0,-1.0989,-2.601
v33_small_account_small_balanced_ic_100000_8pos,100000.0,ic,small_balanced,8,False,True,-0.0621,0.0199,0.0819,-0.2276,0.5227,0.3661,136610.58,7.47,0.126,0.874,38319.42,0.3832,5837,56,219,308,0,-0.7636,-2.7367
v33_small_account_small_balanced_lowvol_reversal_100000_10pos,100000.0,lowvol_reversal,small_balanced,10,False,True,-0.069,0.0195,0.0796,-0.2103,0.5273,0.3585,135849.66,9.56,0.1652,0.8348,47410.34,0.4741,7014,46,372,399,0,-0.8245,-3.7597
v33_small_account_small_balanced_defensive_50000_8pos,50000.0,defensive,small_balanced,8,False,True,-0.0863,0.0182,0.0785,-0.2288,0.4954,0.3312,66561.22,6.95,0.121,0.879,26377.78,0.5276,4563,19,370,440,0,-1.7343,-3.7667
v33_small_account_small_balanced_blend_100000_10pos,100000.0,blend,small_balanced,10,False,True,-0.097,0.018,0.0722,-0.2296,0.5233,0.3346,133461.45,9.3,0.1141,0.8859,41037.55,0.4104,6676,31,365,497,0,-0.8226,-2.1114
v33_small_account_small_defensive_defensive_100000_8pos,100000.0,defensive,small_defensive,8,False,True,-0.0998,0.02,0.0503,-0.154,0.4918,0.4178,141779.48,7.2,0.1072,0.8928,30064.52,0.3006,4725,22,415,296,0,-4.038,-5.7587
v33_small_account_small_balanced_ic_100000_10pos,100000.0,ic,small_balanced,10,False,True,-0.1225,0.0151,0.0812,-0.2396,0.5169,0.248,124796.32,9.3,0.1539,0.8461,45459.69,0.4546,6932,51,378,448,0,-0.3348,-3.5266
v33_small_account_small_balanced_lowvol_reversal_50000_8pos,50000.0,lowvol_reversal,small_balanced,8,False,True,-0.1617,0.0118,0.0819,-0.2354,0.479,0.1748,58737.71,6.08,0.1034,0.8966,25562.29,0.5112,4453,20,184,452,0,-1.2196,-2.6154
v33_small_account_small_balanced_lowvol_reversal_100000_12pos,100000.0,lowvol_reversal,small_balanced,12,False,True,-0.1742,0.0121,0.0742,-0.2053,0.522,0.191,119096.11,10.68,0.1565,0.8435,49991.89,0.4999,7907,47,291,503,0,-0.8622,-3.2937
v33_small_account_small_balanced_ic_100000_12pos,100000.0,ic,small_balanced,12,False,True,-0.179,0.0117,0.0744,-0.2249,0.5178,0.1823,118232.89,10.64,0.1601,0.8399,50596.11,0.506,7978,65,335,537,0,-0.5765,-3.6584
v33_small_account_small_balanced_ic_50000_8pos,50000.0,ic,small_balanced,8,False,True,-0.192,0.0093,0.082,-0.2512,0.4788,0.1205,56023.19,6.24,0.1182,0.8818,27488.81,0.5498,4722,29,202,467,0,-0.7648,-3.6564
v33_small_account_small_balanced_blend_50000_10pos,50000.0,blend,small_balanced,10,False,True,-0.1957,0.0113,0.0702,-0.2255,0.4827,0.1809,59046.08,7.35,0.1069,0.8931,29722.92,0.5945,5271,20,205,540,0,-1.2513,-2.9047
v33_small_account_small_defensive_lowvol_reversal_100000_5pos,100000.0,lowvol_reversal,small_defensive,5,False,True,-0.1965,0.0125,0.0636,-0.1606,0.4967,0.2169,121687.57,4.47,0.1015,0.8985,24366.43,0.2437,3433,20,151,205,0,-0.6437,-2.8014
v33_small_account_small_balanced_defensive_50000_10pos,50000.0,defensive,small_balanced,10,False,True,-0.2367,0.0087,0.0689,-0.245,0.4782,0.1271,56354.6,7.86,0.1196,0.8804,28525.4,0.5705,5042,18,385,557,0,-2.0228,-4.0192
v33_small_account_small_balanced_ic_50000_10pos,50000.0,ic,small_balanced,10,False,True,-0.2781,0.0057,0.0694,-0.2382,0.4676,0.0653,53263.34,6.76,0.1054,0.8946,28926.66,0.5785,5123,28,172,591,0,-0.69,-3.0518
v33_small_account_small_balanced_lowvol_reversal_50000_10pos,50000.0,lowvol_reversal,small_balanced,10,False,True,-0.3009,0.0041,0.0696,-0.2336,0.4671,0.0331,51653.49,6.96,0.1091,0.8909,28793.51,0.5759,5107,22,200,595,0,-1.2695,-3.0732
v33_small_account_small_balanced_blend_50000_12pos,50000.0,blend,small_balanced,12,False,True,-0.3182,0.0052,0.0621,-0.2332,0.4567,0.0646,53229.33,7.92,0.1008,0.8992,31242.67,0.6249,5629,16,170,717,0,-1.8133,-4.0536
v33_small_account_small_balanced_ic_50000_12pos,50000.0,ic,small_balanced,12,False,True,-0.3475,0.0026,0.0644,-0.2325,0.4427,0.0116,50577.74,7.41,0.102,0.898,30550.26,0.611,5478,32,191,644,0,-1.3119,-3.5174
v33_small_account_small_balanced_lowvol_reversal_50000_12pos,50000.0,lowvol_reversal,small_balanced,12,False,True,-0.3481,0.0024,0.0649,-0.2256,0.4469,0.0065,50326.96,7.59,0.1065,0.8935,30777.04,0.6155,5523,21,172,689,0,-1.6137,-3.9935
