name,capital,risk_profile,rank_mode,max_assets,rebalance_freq,small_account_minimum_gate_passes,small_account_executable_gate_passes,sharpe_ratio,annual_return,annual_volatility,max_drawdown,win_rate,total_return,final_nav,avg_holdings,avg_asset_exposure,avg_cash_weight,total_fees,fees_pct_initial_capital,orders,lot_blocked_targets,cash_blocked_buys,avg_oos_sharpe,min_oos_sharpe
v34_etf_ultra_guard_momentum_200000_1asset_20d,200000.0,ultra_guard,momentum,1,20,False,True,0.5997,0.0703,0.0755,-0.1748,0.6736,1.3049,460987.94,1.5,0.9661,0.0339,5246.76,0.0262,184,0,1,-0.3613,-1.5673
v34_etf_balanced_risk_adjusted_200000_1asset_40d,200000.0,balanced,risk_adjusted,1,40,False,True,0.5695,0.141,0.2037,-0.479,0.6771,3.4278,885557.58,1.44,0.976,0.024,20017.02,0.1001,94,0,0,-0.062,-1.1404
v34_etf_balanced_risk_adjusted_100000_1asset_40d,100000.0,balanced,risk_adjusted,1,40,False,True,0.5678,0.1406,0.2037,-0.479,0.6768,3.4076,440760.01,1.41,0.9653,0.0347,9988.39,0.0999,92,2,0,-0.0636,-1.1436
v34_etf_capital_guard_risk_adjusted_200000_1asset_40d,200000.0,capital_guard,risk_adjusted,1,40,False,True,0.5648,0.0888,0.113,-0.3241,0.7156,1.7759,555176.2,1.28,0.9642,0.0358,6214.3,0.0311,76,0,0,0.0025,-0.8028
v34_etf_balanced_risk_adjusted_50000_1asset_40d,50000.0,balanced,risk_adjusted,1,40,False,True,0.5643,0.1399,0.2036,-0.4792,0.663,3.3675,218377.25,1.12,0.9471,0.0529,5018.35,0.1004,90,25,0,-0.0656,-1.1428
v34_etf_capital_guard_risk_adjusted_100000_1asset_40d,100000.0,capital_guard,risk_adjusted,1,40,False,True,0.5616,0.0884,0.1129,-0.3241,0.7156,1.7617,276167.36,1.28,0.9541,0.0459,3128.24,0.0313,74,0,0,0.0034,-0.8013
v34_etf_ultra_guard_momentum_100000_1asset_20d,100000.0,ultra_guard,momentum,1,20,False,True,0.5575,0.0669,0.0752,-0.1752,0.6736,1.2122,221215.51,1.5,0.949,0.051,2750.59,0.0275,176,0,1,-0.3684,-1.5731
v34_etf_capital_guard_risk_adjusted_50000_1asset_40d,50000.0,capital_guard,risk_adjusted,1,40,False,True,0.5537,0.0867,0.1114,-0.3241,0.7165,1.7085,135424.86,1.28,0.9219,0.0781,1507.74,0.0302,70,0,0,-0.0084,-0.8254
v34_etf_ultra_guard_momentum_50000_1asset_20d,50000.0,ultra_guard,momentum,1,20,False,True,0.5453,0.0659,0.0749,-0.1739,0.6726,1.1837,109183.77,1.5,0.9201,0.0799,1513.03,0.0303,155,0,1,-0.4066,-1.5959
v34_etf_defensive_risk_adjusted_200000_1asset_40d,200000.0,defensive,risk_adjusted,1,40,False,True,0.5339,0.0918,0.1252,-0.3337,0.6842,1.8302,566039.62,1.4,0.9642,0.0358,9333.18,0.0467,95,0,0,-0.3324,-1.8295
