name,capital,risk_profile,rank_mode,max_assets,rebalance_freq,target_vol,daily_var_limit,risk_gate_passes,small_account_minimum_gate_passes,small_account_executable_gate_passes,sharpe_ratio,annual_return,annual_volatility,max_drawdown,win_rate,total_return,final_nav,avg_holdings,avg_risky_exposure,avg_cash_weight,avg_target_budget,max_target_budget,zero_budget_rebalances,total_fees,fees_pct_initial_capital,orders,avg_oos_sharpe,min_oos_sharpe
v35_risk_budget_balanced_var_momentum_200000_1asset_20d_vol0.08_var0.008,200000.0,balanced_var,momentum,1,20,0.08,0.008,True,False,True,0.3225,0.0387,0.0425,-0.0688,0.4878,0.5971,319418.03,0.93,0.2122,0.7878,0.2121,0.5,10,3361.47,0.0168,190,0.1549,-0.7989
v35_risk_budget_balanced_var_momentum_100000_1asset_20d_vol0.08_var0.008,100000.0,balanced_var,momentum,1,20,0.08,0.008,True,False,True,0.3197,0.0385,0.0423,-0.0688,0.4878,0.5936,159358.64,0.93,0.2115,0.7885,0.2121,0.5,10,1938.66,0.0194,187,0.149,-0.8074
v35_risk_budget_balanced_var_momentum_50000_1asset_20d_vol0.08_var0.008,50000.0,balanced_var,momentum,1,20,0.08,0.008,True,False,True,0.3094,0.038,0.0421,-0.069,0.4875,0.5841,79203.36,0.93,0.2105,0.7895,0.2121,0.5,10,1334.74,0.0267,182,0.1362,-0.8163
v35_risk_budget_balanced_var_momentum_200000_1asset_20d_vol0.08_var0.012,200000.0,balanced_var,momentum,1,20,0.08,0.012,True,False,True,0.3055,0.0382,0.0431,-0.0775,0.4942,0.5863,317262.41,0.94,0.217,0.783,0.2169,0.5,8,3406.19,0.017,193,0.1945,-0.8273
v35_risk_budget_balanced_var_momentum_200000_1asset_20d_vol0.08_var0.016,200000.0,balanced_var,momentum,1,20,0.08,0.016,True,False,True,0.3055,0.0382,0.0431,-0.0775,0.4942,0.5863,317262.41,0.94,0.217,0.783,0.2169,0.5,8,3406.19,0.017,193,0.1945,-0.8273
v35_risk_budget_balanced_var_momentum_100000_1asset_20d_vol0.08_var0.012,100000.0,balanced_var,momentum,1,20,0.08,0.012,True,False,True,0.3028,0.038,0.0429,-0.0763,0.4942,0.583,158300.7,0.94,0.2163,0.7837,0.2169,0.5,8,1969.7,0.0197,191,0.1928,-0.8243
v35_risk_budget_balanced_var_momentum_100000_1asset_20d_vol0.08_var0.016,100000.0,balanced_var,momentum,1,20,0.08,0.016,True,False,True,0.3028,0.038,0.0429,-0.0763,0.4942,0.583,158300.7,0.94,0.2163,0.7837,0.2169,0.5,8,1969.7,0.0197,191,0.1928,-0.8243
v35_risk_budget_balanced_var_momentum_50000_1asset_20d_vol0.08_var0.012,50000.0,balanced_var,momentum,1,20,0.08,0.012,True,False,True,0.2868,0.0372,0.0427,-0.0756,0.4939,0.5685,78425.14,0.94,0.2151,0.7849,0.2169,0.5,8,1341.46,0.0268,183,0.1714,-0.8394
v35_risk_budget_balanced_var_momentum_50000_1asset_20d_vol0.08_var0.016,50000.0,balanced_var,momentum,1,20,0.08,0.016,True,False,True,0.2868,0.0372,0.0427,-0.0756,0.4939,0.5685,78425.14,0.94,0.2151,0.7849,0.2169,0.5,8,1341.46,0.0268,183,0.1714,-0.8394
v35_risk_budget_balanced_var_risk_adjusted_200000_1asset_20d_vol0.08_var0.012,200000.0,balanced_var,risk_adjusted,1,20,0.08,0.012,True,False,True,0.286,0.0367,0.0407,-0.0601,0.3776,0.5586,311715.78,0.71,0.1699,0.8301,0.1694,0.5,46,2627.02,0.0131,145,0.1579,-1.1196
v35_risk_budget_balanced_var_risk_adjusted_200000_1asset_20d_vol0.08_var0.016,200000.0,balanced_var,risk_adjusted,1,20,0.08,0.016,True,False,True,0.286,0.0367,0.0407,-0.0601,0.3776,0.5586,311715.78,0.71,0.1699,0.8301,0.1694,0.5,46,2627.02,0.0131,145,0.1579,-1.1196
v35_risk_budget_balanced_var_risk_adjusted_100000_1asset_20d_vol0.08_var0.012,100000.0,balanced_var,risk_adjusted,1,20,0.08,0.012,True,False,True,0.2818,0.0365,0.0406,-0.0601,0.3776,0.5548,155481.05,0.71,0.1694,0.8306,0.1694,0.5,46,1508.35,0.0151,143,0.1546,-1.1254
v35_risk_budget_balanced_var_risk_adjusted_100000_1asset_20d_vol0.08_var0.016,100000.0,balanced_var,risk_adjusted,1,20,0.08,0.016,True,False,True,0.2818,0.0365,0.0406,-0.0601,0.3776,0.5548,155481.05,0.71,0.1694,0.8306,0.1694,0.5,46,1508.35,0.0151,143,0.1546,-1.1254
v35_risk_budget_balanced_var_risk_adjusted_200000_1asset_20d_vol0.08_var0.008,200000.0,balanced_var,risk_adjusted,1,20,0.08,0.008,True,False,True,0.2735,0.0361,0.0404,-0.0564,0.3776,0.5474,309482.59,0.71,0.1679,0.8321,0.1675,0.5,46,2592.21,0.013,145,0.1336,-1.1105
v35_risk_budget_balanced_var_risk_adjusted_100000_1asset_20d_vol0.08_var0.008,100000.0,balanced_var,risk_adjusted,1,20,0.08,0.008,True,False,True,0.2699,0.0359,0.0403,-0.0563,0.3776,0.5439,154393.86,0.71,0.1674,0.8326,0.1675,0.5,46,1495.14,0.015,143,0.1299,-1.1197
v35_risk_budget_balanced_var_risk_adjusted_50000_1asset_20d_vol0.08_var0.012,50000.0,balanced_var,risk_adjusted,1,20,0.08,0.012,True,False,True,0.2628,0.0356,0.0402,-0.0599,0.3776,0.5384,76917.96,0.71,0.1683,0.8317,0.1694,0.5,46,1016.94,0.0203,137,0.1362,-1.1504
v35_risk_budget_balanced_var_risk_adjusted_50000_1asset_20d_vol0.08_var0.016,50000.0,balanced_var,risk_adjusted,1,20,0.08,0.016,True,False,True,0.2628,0.0356,0.0402,-0.0599,0.3776,0.5384,76917.96,0.71,0.1683,0.8317,0.1694,0.5,46,1016.94,0.0203,137,0.1362,-1.1504
v35_risk_budget_balanced_var_risk_adjusted_50000_1asset_20d_vol0.08_var0.008,50000.0,balanced_var,risk_adjusted,1,20,0.08,0.008,True,False,True,0.2576,0.0353,0.04,-0.0564,0.3776,0.5332,76660.69,0.71,0.1664,0.8336,0.1675,0.5,46,1007.61,0.0202,136,0.1227,-1.1332
