name,capital,universe_mode,risk_profile,rank_mode,max_assets,rebalance_freq,risk_gate_passes,small_account_minimum_gate_passes,small_account_executable_gate_passes,long_history_research_gate_passes,sharpe_ratio,annual_return,annual_volatility,max_drawdown,win_rate,total_return,final_nav,avg_holdings,avg_risky_exposure,avg_cash_weight,avg_target_budget,max_target_budget,zero_budget_rebalances,total_fees,fees_pct_initial_capital,orders,avg_oos_sharpe,min_oos_sharpe
v36_regime_core_long_aggressive_risk_adjusted_200000_1asset_20d,200000.0,core_long,aggressive,risk_adjusted,1,20,True,False,True,False,0.4219,0.0576,0.0772,-0.1351,0.2835,0.9667,393341.31,0.53,0.1564,0.8436,0.1579,0.9363,73,4368.29,0.0218,119,0.355,-0.9268
v36_regime_core_long_aggressive_risk_adjusted_100000_1asset_20d,100000.0,core_long,aggressive,risk_adjusted,1,20,True,False,True,False,0.421,0.0575,0.0772,-0.1351,0.2832,0.9644,196444.33,0.53,0.1561,0.8439,0.1579,0.9363,73,2268.87,0.0227,116,0.3545,-0.9262
v36_regime_core_long_aggressive_risk_adjusted_50000_1asset_20d,50000.0,core_long,aggressive,risk_adjusted,1,20,True,False,True,False,0.4208,0.0572,0.0766,-0.1287,0.2828,0.959,97949.27,0.53,0.1552,0.8448,0.1579,0.9363,73,1313.83,0.0263,117,0.3527,-0.9358
v36_regime_expanded_recent_aggressive_trend_50000_1asset_20d,50000.0,expanded_recent,aggressive,trend,1,20,True,False,True,False,0.2886,0.0473,0.0773,-0.1198,0.426,0.7312,86561.82,0.8,0.1757,0.8243,0.1778,0.7054,31,1430.58,0.0286,160,-0.4879,-1.5792
v36_regime_expanded_recent_aggressive_trend_200000_1asset_20d,200000.0,expanded_recent,aggressive,trend,1,20,True,False,True,False,0.2871,0.0474,0.0779,-0.1216,0.4273,0.7316,346319.78,0.8,0.1788,0.8212,0.1795,0.7054,31,4323.12,0.0216,167,-0.4877,-1.5628
v36_regime_core_long_aggressive_trend_200000_1asset_20d,200000.0,core_long,aggressive,trend,1,20,True,False,True,False,0.2863,0.0472,0.0776,-0.1213,0.4279,0.7291,345818.69,0.8,0.1755,0.8245,0.1764,0.7054,32,4049.91,0.0202,160,-0.4234,-1.4668
v36_regime_expanded_recent_aggressive_trend_100000_1asset_20d,100000.0,expanded_recent,aggressive,trend,1,20,True,False,True,False,0.2849,0.0472,0.0778,-0.1214,0.4263,0.7276,172758.82,0.8,0.1783,0.8217,0.1795,0.7054,31,2336.48,0.0234,165,-0.4947,-1.5681
v36_regime_core_long_aggressive_trend_100000_1asset_20d,100000.0,core_long,aggressive,trend,1,20,True,False,True,False,0.2826,0.0469,0.0775,-0.1215,0.427,0.7225,172250.4,0.8,0.175,0.825,0.1764,0.7054,32,2210.7,0.0221,158,-0.4305,-1.4719
v36_regime_expanded_recent_balanced_trend_200000_1asset_20d,200000.0,expanded_recent,balanced,trend,1,20,True,False,True,False,0.2432,0.0381,0.0538,-0.0755,0.3603,0.5744,314884.59,0.68,0.1356,0.8644,0.1356,0.6058,50,3170.11,0.0159,149,-1.4781,-3.6731
v36_regime_core_long_balanced_trend_50000_1asset_20d,50000.0,core_long,balanced,trend,1,20,True,False,True,False,0.2424,0.038,0.0534,-0.074,0.3728,0.5722,78609.21,0.7,0.1353,0.8647,0.1369,0.6058,47,1123.69,0.0225,144,-1.7807,-5.0776
v36_regime_core_long_aggressive_trend_50000_1asset_20d,50000.0,core_long,aggressive,trend,1,20,True,False,True,False,0.2331,0.0428,0.0764,-0.1192,0.4266,0.6389,81946.39,0.8,0.171,0.829,0.1733,0.7054,32,1351.61,0.027,151,-0.4979,-1.4979
v36_regime_expanded_recent_aggressive_risk_adjusted_200000_1asset_20d,200000.0,expanded_recent,aggressive,risk_adjusted,1,20,True,False,True,False,0.2101,0.0413,0.0778,-0.1351,0.2995,0.6074,321472.26,0.56,0.1647,0.8353,0.1667,0.7054,67,5192.04,0.026,135,-0.0354,-0.8545
v36_regime_core_long_balanced_risk_adjusted_50000_1asset_20d,50000.0,core_long,balanced,risk_adjusted,1,20,True,False,True,False,0.2099,0.0349,0.047,-0.0809,0.2726,0.5191,75955.88,0.51,0.0944,0.9056,0.0965,0.5686,76,891.42,0.0178,109,0.1058,-1.3105
v36_regime_expanded_recent_aggressive_risk_adjusted_100000_1asset_20d,100000.0,expanded_recent,aggressive,risk_adjusted,1,20,True,False,True,False,0.2093,0.0413,0.0777,-0.1351,0.2992,0.6058,160580.74,0.56,0.1638,0.8362,0.1667,0.7054,67,2664.76,0.0266,133,-0.0358,-0.8553
