name,capital,alpha_cap,stock_profile,stock_positions,stock_rebalance_freq,simultaneous_improvement_gate_passes,stock_execution_gate_passes,small_account_minimum_gate_passes,sharpe_ratio,annual_return,max_drawdown,win_rate,avg_oos_sharpe,min_oos_sharpe,annual_return_delta,sharpe_delta,max_drawdown_delta,avg_oos_sharpe_delta,min_oos_sharpe_delta,avg_alpha_allocation,active_alpha_ratio,stock_subaccount_capital,stock_avg_holdings,stock_orders,stock_total_fees
v37_200000_alpha20_small_balanced_2pos_40d,200000.0,0.2,small_balanced,2,40,True,True,False,0.5449,0.0689,-0.1405,0.3358,0.3593,-0.9256,0.0081,0.084,-0.0054,0.0043,0.0012,0.0295,0.2668,40000.0,1.81,256,3010.34
v37_100000_alpha20_small_balanced_2pos_40d,100000.0,0.2,small_balanced,2,40,True,True,False,0.5436,0.0688,-0.1407,0.3311,0.3691,-0.9164,0.0081,0.0837,-0.0056,0.0146,0.0098,0.029,0.2601,20000.0,1.75,248,2000.44
v37_50000_alpha20_small_balanced_2pos_40d,50000.0,0.2,small_balanced,2,40,True,True,False,0.5413,0.0681,-0.1317,0.3331,0.3616,-0.9333,0.0076,0.0812,-0.003,0.0089,0.0025,0.0293,0.2801,10000.0,1.59,221,1494.37
v37_200000_alpha15_small_balanced_2pos_40d,200000.0,0.15,small_balanced,2,40,True,True,False,0.5269,0.0671,-0.1399,0.3378,0.3647,-0.9242,0.0063,0.066,-0.0048,0.0097,0.0026,0.0233,0.3001,30000.0,1.77,249,2478.3
v37_100000_alpha15_small_balanced_2pos_40d,100000.0,0.15,small_balanced,2,40,True,True,False,0.5229,0.0667,-0.1393,0.3318,0.3647,-0.9252,0.006,0.063,-0.0042,0.0102,0.001,0.0222,0.2734,15000.0,1.67,234,1705.93
v37_50000_alpha15_small_balanced_2pos_40d,50000.0,0.15,small_balanced,2,40,True,True,False,0.5173,0.0657,-0.1287,0.3178,0.3543,-0.9314,0.0052,0.0572,0.0,0.0016,0.0044,0.0172,0.2267,7500.0,1.44,198,1247.91
v37_100000_alpha20_small_balanced_2pos_20d,100000.0,0.2,small_balanced,2,20,False,True,False,0.5485,0.0704,-0.1361,0.3288,0.3795,-0.9474,0.0097,0.0886,-0.001,0.025,-0.0212,0.0295,0.2868,20000.0,1.91,545,6962.45
v37_200000_alpha20_v32_guard_2pos_20d,200000.0,0.2,v32_guard,2,20,False,True,False,0.5443,0.0695,-0.1355,0.3211,0.392,-0.9534,0.0087,0.0834,-0.0004,0.037,-0.0266,0.0283,0.2601,40000.0,1.61,461,5654.94
v37_50000_alpha20_small_balanced_2pos_20d,50000.0,0.2,small_balanced,2,20,False,True,False,0.5284,0.0679,-0.1293,0.3314,0.3978,-0.9571,0.0074,0.0683,-0.0006,0.0451,-0.0213,0.0292,0.2934,10000.0,1.81,512,4391.98
v37_200000_alpha20_small_balanced_2pos_20d,200000.0,0.2,small_balanced,2,20,False,True,False,0.5089,0.0669,-0.1383,0.3294,0.3479,-0.9606,0.0061,0.048,-0.0032,-0.0071,-0.0338,0.0275,0.2601,40000.0,1.98,565,12119.05
v37_50000_alpha15_small_balanced_2pos_20d,50000.0,0.15,small_balanced,2,20,False,True,False,0.5175,0.0665,-0.1302,0.3341,0.3531,-0.99,0.006,0.0574,-0.0015,0.0004,-0.0542,0.0234,0.3068,7500.0,1.71,478,3570.53
v37_200000_alpha20_v32_guard_2pos_40d,200000.0,0.2,v32_guard,2,40,False,True,False,0.525,0.0667,-0.1377,0.3088,0.354,-0.9274,0.0059,0.0641,-0.0026,-0.001,-0.0006,0.023,0.1934,40000.0,1.28,179,1619.92
v37_100000_alpha20_v32_guard_2pos_40d,100000.0,0.2,v32_guard,2,40,False,True,False,0.5237,0.0664,-0.1351,0.2991,0.3529,-0.9222,0.0057,0.0638,0.0,-0.0016,0.004,0.0193,0.1801,20000.0,0.87,114,890.08
v37_100000_alpha20_v32_guard_1pos_20d,100000.0,0.2,v32_guard,1,20,False,True,False,0.5185,0.0662,-0.1357,0.3198,0.3826,-0.9302,0.0055,0.0586,-0.0006,0.0281,-0.004,0.0279,0.2734,20000.0,0.69,195,1940.6
v37_50000_alpha20_v32_guard_2pos_40d,50000.0,0.2,v32_guard,2,40,False,True,False,0.5216,0.0659,-0.1287,0.2964,0.3504,-0.9397,0.0054,0.0615,0.0,-0.0023,-0.0039,0.0143,0.1267,10000.0,0.52,74,511.7
v37_100000_alpha20_small_balanced_1pos_20d,100000.0,0.2,small_balanced,1,20,False,True,False,0.5125,0.0658,-0.1372,0.3288,0.3429,-0.9755,0.0051,0.0526,-0.0021,-0.0116,-0.0493,0.0285,0.2668,20000.0,0.96,272,3528.41
v37_200000_alpha10_small_balanced_2pos_20d,200000.0,0.1,small_balanced,2,20,False,True,False,0.5091,0.0658,-0.1356,0.3301,0.3667,-0.9408,0.005,0.0482,-0.0005,0.0117,-0.014,0.0156,0.2868,20000.0,1.91,545,6962.45
v37_100000_alpha15_v32_guard_2pos_20d,100000.0,0.15,v32_guard,2,20,False,True,False,0.5082,0.0657,-0.1355,0.3271,0.3618,-0.9502,0.005,0.0483,-0.0004,0.0073,-0.024,0.0207,0.2601,15000.0,1.29,338,2623.23
v37_100000_alpha15_small_balanced_2pos_20d,100000.0,0.15,small_balanced,2,20,False,True,False,0.5015,0.0656,-0.1366,0.3348,0.3668,-0.9543,0.0049,0.0416,-0.0015,0.0123,-0.0281,0.0223,0.2868,15000.0,1.91,549,5897.59
v37_50000_alpha20_v32_guard_2pos_20d,50000.0,0.2,v32_guard,2,20,False,True,False,0.5108,0.0651,-0.1278,0.2944,0.3505,-0.9352,0.0046,0.0507,0.0009,-0.0022,0.0006,0.0159,0.1467,10000.0,0.69,156,1026.24
v37_200000_alpha20_small_balanced_1pos_20d,200000.0,0.2,small_balanced,1,20,False,True,False,0.5069,0.0654,-0.1381,0.3281,0.3377,-0.9702,0.0046,0.046,-0.003,-0.0173,-0.0434,0.0274,0.2668,40000.0,0.99,280,6852.54
v37_100000_alpha20_v32_guard_2pos_20d,100000.0,0.2,v32_guard,2,20,False,True,False,0.5018,0.0652,-0.1351,0.3178,0.3411,-0.9487,0.0045,0.0419,0.0,-0.0134,-0.0225,0.0216,0.2201,20000.0,1.13,321,2508.75
v37_200000_alpha15_v32_guard_2pos_40d,200000.0,0.15,v32_guard,2,40,False,True,False,0.5092,0.0651,-0.1361,0.3171,0.3545,-0.9276,0.0043,0.0483,-0.001,-0.0005,-0.0008,0.0153,0.2001,30000.0,1.03,144,1227.28
v37_100000_alpha15_v32_guard_2pos_40d,100000.0,0.15,v32_guard,2,40,False,True,False,0.5054,0.0648,-0.1351,0.3008,0.3531,-0.9261,0.0041,0.0455,0.0,-0.0014,0.0001,0.0127,0.14,15000.0,0.69,93,688.2
v37_200000_alpha10_small_balanced_2pos_40d,200000.0,0.1,small_balanced,2,40,False,True,False,0.5044,0.0649,-0.1381,0.3308,0.3624,-0.922,0.0041,0.0435,-0.003,0.0074,0.0048,0.0147,0.2601,20000.0,1.75,248,2000.44
v37_50000_alpha15_v32_guard_2pos_40d,50000.0,0.15,v32_guard,2,40,False,True,False,0.5066,0.0645,-0.129,0.2954,0.3519,-0.9358,0.004,0.0465,-0.0003,-0.0008,0.0,0.011,0.1334,7500.0,0.59,78,510.31
v37_200000_alpha15_small_balanced_2pos_20d,200000.0,0.15,small_balanced,2,20,False,True,False,0.493,0.0648,-0.1367,0.3298,0.3526,-0.9459,0.004,0.0321,-0.0016,-0.0024,-0.0191,0.0215,0.2801,30000.0,1.94,554,8956.95
v37_50000_alpha20_small_balanced_1pos_20d,50000.0,0.2,small_balanced,1,20,False,True,False,0.5038,0.0644,-0.129,0.3144,0.3438,-0.9855,0.0039,0.0437,-0.0003,-0.0089,-0.0497,0.0253,0.2467,10000.0,0.86,242,2088.66
v37_100000_alpha10_small_balanced_2pos_40d,100000.0,0.1,small_balanced,2,40,False,True,False,0.5018,0.0646,-0.1366,0.3331,0.359,-0.9251,0.0039,0.0419,-0.0015,0.0045,0.0011,0.0148,0.2801,10000.0,1.59,221,1494.37
v37_100000_alpha10_small_balanced_2pos_20d,100000.0,0.1,small_balanced,2,20,False,True,False,0.4957,0.0645,-0.1353,0.3311,0.378,-0.9409,0.0038,0.0358,-0.0002,0.0235,-0.0147,0.0144,0.2734,10000.0,1.81,512,4391.98
v37_200000_alpha15_v32_guard_2pos_20d,200000.0,0.15,v32_guard,2,20,False,True,False,0.4972,0.0645,-0.1352,0.3164,0.3414,-0.9304,0.0037,0.0363,-0.0001,-0.0136,-0.0036,0.0172,0.2201,30000.0,1.27,355,3085.78
v37_200000_alpha15_small_balanced_1pos_20d,200000.0,0.15,small_balanced,1,20,False,True,False,0.4962,0.0642,-0.1372,0.3258,0.3414,-0.9645,0.0034,0.0353,-0.0021,-0.0136,-0.0377,0.0208,0.2668,30000.0,0.99,279,5251.91
