name,capital,stock_alpha_cap,crisis_cap,relative_improvement_gate_passes,production_minimum_gate_passes,sharpe_ratio,annual_return,max_drawdown,win_rate,avg_oos_sharpe,min_oos_sharpe,annual_return_delta,sharpe_delta,max_drawdown_delta,avg_target_stock,avg_target_crisis,max_actual_risk_exposure,orders,total_fees,weakest_fold,weakest_fold_oos
v38_joint_100000_stock15_crisis15,100000.0,0.15,0.15,False,False,0.5022,0.0652,-0.1725,0.3386,0.2617,-0.538,0.0077,0.0812,-0.0374,0.0177,0.0398,0.9406,238,2947.11,1,-0.538
v38_joint_50000_stock15_crisis10,50000.0,0.15,0.1,False,False,0.5032,0.0642,-0.1569,0.3466,0.1789,-0.7127,0.007,0.0824,-0.0282,0.0125,0.0266,0.9357,208,1754.25,1,-0.7127
v38_joint_50000_stock15_crisis15,50000.0,0.15,0.15,False,False,0.471,0.0622,-0.1569,0.3741,0.2507,-0.5475,0.005,0.0502,-0.0282,0.0121,0.0398,0.9371,236,1929.01,1,-0.5475
v38_joint_100000_stock5_crisis15,100000.0,0.05,0.15,False,False,0.4595,0.0621,-0.1433,0.3828,0.507,-0.1537,0.0046,0.0385,-0.0082,0.0064,0.0398,0.9399,259,3267.8,2,-0.1537
v38_joint_100000_stock10_crisis15,100000.0,0.1,0.15,False,False,0.4563,0.0604,-0.1562,0.3744,0.2705,-0.5314,0.0029,0.0353,-0.0211,0.0096,0.0398,0.9388,253,2866.06,1,-0.5314
v38_joint_50000_stock10_crisis15,50000.0,0.1,0.15,False,False,0.4411,0.0591,-0.1517,0.3728,0.2418,-0.5602,0.0019,0.0203,-0.023,0.0107,0.0398,0.9355,232,1859.77,1,-0.5602
v38_joint_200000_stock10_crisis10,200000.0,0.1,0.1,False,False,0.4447,0.0594,-0.1588,0.3475,0.0736,-0.7435,0.0018,0.0228,-0.0237,0.0102,0.0266,0.9403,245,4653.1,0,-0.7435
v38_joint_50000_stock5_crisis10,50000.0,0.05,0.1,False,False,0.429,0.0588,-0.1318,0.37,0.4478,-0.3861,0.0016,0.0082,-0.0031,0.0046,0.0266,0.9332,208,1842.41,2,-0.3861
v38_joint_200000_stock5_crisis15,200000.0,0.05,0.15,False,False,0.4301,0.0591,-0.1466,0.3783,0.2846,-0.4006,0.0015,0.0082,-0.0115,0.006,0.0398,0.9408,286,5423.9,1,-0.4006
v38_joint_200000_stock15_crisis15,200000.0,0.15,0.15,False,False,0.4347,0.059,-0.1768,0.2979,-1.2278,-5.4783,0.0014,0.0128,-0.0417,0.0154,0.0398,0.8557,212,4135.51,0,-5.4783
