name,capital,stock_alpha_cap,crisis_cap,relative_improvement_gate_passes,production_minimum_gate_passes,sharpe_ratio,annual_return,max_drawdown,win_rate,avg_oos_sharpe,min_oos_sharpe,annual_return_delta,sharpe_delta,max_drawdown_delta,avg_target_stock,avg_target_crisis,max_actual_risk_exposure,orders,total_fees,weakest_fold,weakest_fold_oos
v38_joint_50000_stock7_crisis25,50000.0,0.07,0.25,True,False,0.4593,0.0612,-0.1358,0.3719,0.4184,-0.5902,0.0055,0.059,-0.0063,0.0063,0.0664,0.9409,217,3177.92,0,-0.5902
v38_joint_200000_stock7_crisis25,200000.0,0.07,0.25,False,False,0.4621,0.062,-0.1542,0.3716,0.4275,-0.5771,0.0064,0.0636,-0.0199,0.0068,0.0664,0.9398,262,10984.03,0,-0.5771
v38_joint_200000_stock7_crisis20,200000.0,0.07,0.2,False,False,0.4541,0.0607,-0.1542,0.3712,0.3559,-0.5624,0.0051,0.0556,-0.0199,0.0072,0.0531,0.9411,258,10407.82,0,-0.5624
v38_joint_100000_stock7_crisis20,100000.0,0.07,0.2,False,False,0.4458,0.0601,-0.1477,0.3722,0.3516,-0.5721,0.0041,0.0437,-0.015,0.0058,0.0531,0.9402,237,5532.62,0,-0.5721
v38_joint_200000_stock5_crisis20,200000.0,0.05,0.2,False,False,0.4319,0.0596,-0.1476,0.3773,0.3075,-0.4412,0.004,0.0334,-0.0133,0.0056,0.0531,0.9394,276,11323.51,1,-0.4412
v38_joint_50000_stock5_crisis25,50000.0,0.05,0.25,False,False,0.4398,0.0593,-0.1327,0.3693,0.4252,-0.6042,0.0036,0.0395,-0.0032,0.0034,0.0664,0.9337,201,2994.05,0,-0.6042
v38_joint_50000_stock7_crisis20,50000.0,0.07,0.2,False,False,0.4372,0.0591,-0.1358,0.3722,0.3489,-0.5756,0.0034,0.0369,-0.0063,0.006,0.0531,0.9374,214,3081.72,0,-0.5756
v38_joint_100000_stock5_crisis20,100000.0,0.05,0.2,False,False,0.4251,0.0582,-0.1443,0.3719,0.362,-0.5634,0.0022,0.023,-0.0116,0.0053,0.0531,0.9372,247,5513.67,0,-0.5634
v38_joint_100000_stock7_crisis25,100000.0,0.07,0.25,False,False,0.4225,0.0579,-0.1477,0.329,-0.3265,-3.5042,0.0019,0.0204,-0.015,0.0056,0.0664,0.938,211,4655.19,0,-3.5042
v38_joint_200000_stock5_crisis25,200000.0,0.05,0.25,False,False,0.4173,0.0573,-0.1476,0.3293,-0.3008,-3.4796,0.0017,0.0188,-0.0133,0.0047,0.0664,0.9392,234,8553.75,0,-3.4796
v38_joint_50000_stock5_crisis20,50000.0,0.05,0.2,False,False,0.4168,0.0571,-0.1327,0.369,0.3546,-0.5809,0.0014,0.0165,-0.0032,0.0033,0.0531,0.9389,201,2923.56,0,-0.5809
v38_joint_100000_stock5_crisis25,100000.0,0.05,0.25,False,False,0.4018,0.056,-0.1443,0.329,-0.3153,-3.4765,0.0,-0.0003,-0.0116,0.005,0.0664,0.9384,208,4597.69,0,-3.4765
