name,capital,stock_alpha_cap,crisis_cap,relative_improvement_gate_passes,production_minimum_gate_passes,sharpe_ratio,annual_return,max_drawdown,win_rate,avg_oos_sharpe,min_oos_sharpe,annual_return_delta,sharpe_delta,max_drawdown_delta,avg_target_stock,avg_target_crisis,max_actual_risk_exposure,orders,total_fees,weakest_fold,weakest_fold_oos
v38_joint_100000_stock7_crisis25,100000.0,0.07,0.25,True,False,0.4792,0.0633,-0.1466,0.3732,0.4624,-0.5416,0.0058,0.0582,-0.0115,0.0059,0.0664,0.9404,248,2920.24,0,-0.5416
v38_joint_100000_stock5_crisis15,100000.0,0.05,0.15,False,False,0.4595,0.0621,-0.1433,0.3828,0.507,-0.1537,0.0046,0.0385,-0.0082,0.0064,0.0398,0.9399,259,3267.8,2,-0.1537
v38_joint_200000_stock5_crisis25,200000.0,0.05,0.25,False,False,0.4668,0.0621,-0.1466,0.3732,0.4568,-0.5405,0.0045,0.0449,-0.0115,0.0056,0.0664,0.9405,276,5102.36,0,-0.5405
v38_joint_200000_stock3_crisis25,200000.0,0.03,0.25,False,False,0.4592,0.0611,-0.1409,0.3719,0.4692,-0.5438,0.0035,0.0373,-0.0058,0.003,0.0664,0.9394,254,4902.72,0,-0.5438
v38_joint_200000_stock7_crisis20,200000.0,0.07,0.2,False,False,0.4523,0.061,-0.1531,0.3735,0.3783,-0.5243,0.0034,0.0304,-0.018,0.008,0.0531,0.9405,271,5266.21,0,-0.5243
v38_joint_50000_stock7_crisis20,50000.0,0.07,0.2,False,False,0.4549,0.0605,-0.1348,0.3722,0.3798,-0.5326,0.0033,0.0341,-0.0061,0.0064,0.0531,0.9329,220,1803.15,0,-0.5326
v38_joint_100000_stock7_crisis15,100000.0,0.07,0.15,False,False,0.4452,0.0601,-0.1466,0.3805,0.2795,-0.3975,0.0026,0.0242,-0.0115,0.0066,0.0398,0.938,250,3036.98,0,-0.3975
v38_joint_100000_stock5_crisis25,100000.0,0.05,0.25,False,False,0.4451,0.0601,-0.1433,0.3652,0.4639,-0.5407,0.0026,0.0241,-0.0082,0.0052,0.0664,0.9399,232,2778.31,0,-0.5407
v38_joint_50000_stock5_crisis25,50000.0,0.05,0.25,False,False,0.4337,0.0592,-0.1318,0.37,0.4026,-0.8285,0.002,0.0129,-0.0031,0.0034,0.0664,0.9385,205,1732.69,0,-0.8285
v38_joint_200000_stock7_crisis25,200000.0,0.07,0.25,False,False,0.4382,0.0594,-0.1531,0.3312,-0.2984,-3.4705,0.0018,0.0163,-0.018,0.0071,0.0664,0.9401,246,4458.06,0,-3.4705
v38_joint_200000_stock3_crisis20,200000.0,0.03,0.2,False,False,0.4415,0.0593,-0.1409,0.3719,0.4011,-0.5235,0.0017,0.0196,-0.0058,0.003,0.0531,0.9397,249,4683.03,0,-0.5235
v38_joint_50000_stock7_crisis15,50000.0,0.07,0.15,False,False,0.4388,0.0589,-0.1348,0.3722,0.296,-0.5505,0.0017,0.018,-0.0061,0.0064,0.0398,0.9344,213,1737.76,1,-0.5505
v38_joint_200000_stock7_crisis15,200000.0,0.07,0.15,False,False,0.4393,0.0592,-0.1532,0.3748,0.2575,-0.5226,0.0016,0.0174,-0.0181,0.0075,0.0398,0.9396,268,5001.99,1,-0.5226
v38_joint_200000_stock5_crisis15,200000.0,0.05,0.15,False,False,0.4301,0.0591,-0.1466,0.3783,0.2846,-0.4006,0.0015,0.0082,-0.0115,0.006,0.0398,0.9408,286,5423.9,1,-0.4006
v38_joint_50000_stock5_crisis20,50000.0,0.05,0.2,False,False,0.4361,0.0586,-0.1318,0.3703,0.3838,-0.554,0.0014,0.0153,-0.0031,0.0036,0.0531,0.934,205,1675.88,0,-0.554
v38_joint_50000_stock3_crisis25,50000.0,0.03,0.25,False,False,0.4177,0.0575,-0.1348,0.3687,0.4014,-0.8334,0.0003,-0.0031,-0.0061,0.0005,0.0664,0.9395,175,1526.5,0,-0.8334
v38_joint_100000_stock3_crisis25,100000.0,0.03,0.25,False,False,0.4157,0.0576,-0.1389,0.3709,0.4054,-0.8304,0.0001,-0.0053,-0.0038,0.0019,0.0664,0.9372,208,2615.98,0,-0.8304
v38_joint_50000_stock3_crisis20,50000.0,0.03,0.2,False,False,0.4191,0.0571,-0.1348,0.3684,0.3853,-0.5362,-0.0001,-0.0017,-0.0061,0.0006,0.0531,0.9338,180,1509.82,0,-0.5362
v38_joint_50000_stock5_crisis15,50000.0,0.05,0.15,False,False,0.4193,0.057,-0.1318,0.37,0.2969,-0.5438,-0.0002,-0.0015,-0.0031,0.0036,0.0398,0.9349,203,1634.34,1,-0.5438
v38_joint_50000_stock7_crisis25,50000.0,0.07,0.25,False,False,0.4062,0.0566,-0.1348,0.3559,-0.3162,-3.4889,-0.0006,-0.0146,-0.0061,0.006,0.0664,0.9335,200,1637.16,0,-3.4889
v38_joint_100000_stock3_crisis20,100000.0,0.03,0.2,False,False,0.4053,0.0564,-0.1389,0.3706,0.3146,-0.5328,-0.0011,-0.0157,-0.0038,0.002,0.0531,0.937,211,2570.87,0,-0.5328
v38_joint_200000_stock3_crisis15,200000.0,0.03,0.15,False,False,0.4087,0.0563,-0.1409,0.3719,0.2782,-0.5196,-0.0013,-0.0132,-0.0058,0.0029,0.0398,0.9397,243,4668.24,1,-0.5196
v38_joint_100000_stock5_crisis20,100000.0,0.05,0.2,False,False,0.4018,0.0557,-0.1433,0.3293,-0.6145,-4.2505,-0.0018,-0.0192,-0.0082,0.005,0.0531,0.9403,202,2286.36,0,-4.2505
v38_joint_50000_stock3_crisis15,50000.0,0.03,0.15,False,False,0.4015,0.0554,-0.1348,0.3684,0.3041,-0.5504,-0.0018,-0.0193,-0.0061,0.0006,0.0398,0.9352,169,1426.34,1,-0.5504
v38_joint_100000_stock3_crisis15,100000.0,0.03,0.15,False,False,0.3992,0.0555,-0.1389,0.3709,0.3121,-0.534,-0.002,-0.0218,-0.0038,0.002,0.0398,0.9377,207,2421.36,1,-0.534
v38_joint_100000_stock7_crisis20,100000.0,0.07,0.2,False,False,0.3619,0.0527,-0.1466,0.3302,-0.745,-4.2566,-0.0048,-0.0591,-0.0115,0.0056,0.0531,0.7729,201,2256.17,0,-4.2566
v38_joint_200000_stock5_crisis20,200000.0,0.05,0.2,False,False,0.3505,0.0517,-0.1466,0.3296,-0.722,-4.228,-0.0059,-0.0714,-0.0115,0.0046,0.0531,0.7568,221,3855.54,0,-4.228
