name,capital,crisis_cap,crisis_max_assets,allocation_mode,relative_improvement_gate_passes,production_minimum_gate_passes,annual_return,sharpe_ratio,max_drawdown,avg_oos_sharpe,min_oos_sharpe,avg_crisis_target,max_actual_risk_exposure
v39_50000_crisis20_2asset_equal_pair,50000.0,0.2,2,equal_pair,True,False,0.0634,0.4892,-0.1287,0.5022,-0.4092,0.0828,0.9335
v39_200000_crisis15_2asset_equal_pair,200000.0,0.15,2,equal_pair,True,False,0.0635,0.4883,-0.1348,0.4798,-0.4711,0.0621,0.9398
v39_200000_crisis20_2asset_inverse_vol_pair,200000.0,0.2,2,inverse_vol_pair,False,False,0.0608,0.4599,-0.1347,0.4795,-0.4657,0.0828,0.94
v39_100000_crisis15_2asset_equal_pair,100000.0,0.15,2,equal_pair,False,False,0.0607,0.4555,-0.132,0.4697,-0.5315,0.0621,0.9398
v39_50000_crisis15_2asset_equal_pair,50000.0,0.15,2,equal_pair,False,False,0.0603,0.4559,-0.1288,0.465,-0.5459,0.0621,0.9345
v39_100000_crisis20_2asset_inverse_vol_pair,100000.0,0.2,2,inverse_vol_pair,False,False,0.0605,0.4565,-0.1351,0.4715,-0.5126,0.0828,0.9391
v39_200000_crisis10_2asset_equal_pair,200000.0,0.1,2,equal_pair,False,False,0.0601,0.4511,-0.1352,0.4437,-0.6139,0.0414,0.9403
v39_200000_crisis15_2asset_inverse_vol_pair,200000.0,0.15,2,inverse_vol_pair,False,False,0.06,0.4501,-0.1347,0.4447,-0.5994,0.0621,0.9405
v39_50000_crisis20_2asset_inverse_vol_pair,50000.0,0.2,2,inverse_vol_pair,False,False,0.0595,0.4466,-0.1288,0.4477,-0.6345,0.0828,0.9366
v39_100000_crisis15_2asset_inverse_vol_pair,100000.0,0.15,2,inverse_vol_pair,False,False,0.0596,0.4471,-0.132,0.4407,-0.6231,0.0621,0.9392
v39_100000_crisis10_2asset_equal_pair,100000.0,0.1,2,equal_pair,False,False,0.0596,0.4466,-0.1319,0.4319,-0.6619,0.0414,0.9382
v39_50000_crisis10_2asset_equal_pair,50000.0,0.1,2,equal_pair,False,False,0.0592,0.4435,-0.1288,0.4267,-0.6742,0.0414,0.9379
v39_200000_crisis10_2asset_inverse_vol_pair,200000.0,0.1,2,inverse_vol_pair,False,False,0.0591,0.4395,-0.1351,0.4153,-0.7147,0.0414,0.939
v39_50000_crisis15_2asset_inverse_vol_pair,50000.0,0.15,2,inverse_vol_pair,False,False,0.0584,0.4334,-0.1288,0.414,-0.7253,0.0621,0.9385
v39_100000_crisis10_2asset_inverse_vol_pair,100000.0,0.1,2,inverse_vol_pair,False,False,0.0586,0.4346,-0.1319,0.4029,-0.7762,0.0414,0.9377
