name,capital,stock_alpha_cap,crisis_cap,relative_improvement_gate_passes,production_minimum_gate_passes,stock_execution_gate_passes,annual_return,sharpe_ratio,max_drawdown,avg_oos_sharpe,min_oos_sharpe,annual_return_delta,avg_target_stock,avg_target_crisis,avg_stock_holdings,max_actual_risk_exposure
v40_200000_stock7_crisis20,200000.0,0.07,0.2,True,False,True,0.0643,0.4807,-0.144,0.5062,-0.119,0.0095,0.0107,0.0828,0.53,0.9403
v40_100000_stock7_crisis20,100000.0,0.07,0.2,True,False,True,0.0637,0.4755,-0.1386,0.5,-0.1622,0.0092,0.0079,0.0828,0.4,0.9404
v40_200000_stock5_crisis20,200000.0,0.05,0.2,True,False,True,0.0624,0.4609,-0.1439,0.4958,-0.165,0.0076,0.0075,0.0828,0.56,0.939
v40_100000_stock5_crisis20,100000.0,0.05,0.2,False,False,True,0.0581,0.4184,-0.139,0.2292,-0.4394,0.0036,0.0066,0.0828,0.39,0.9376
v40_100000_stock3_crisis15,100000.0,0.03,0.15,False,False,True,0.0639,0.493,-0.1366,0.4616,-0.5306,0.0032,0.0026,0.0621,0.22,0.9406
v40_50000_stock5_crisis15,50000.0,0.05,0.15,False,False,True,0.0634,0.4871,-0.1387,0.4644,-0.5399,0.0031,0.0045,0.0621,0.27,0.934
v40_200000_stock3_crisis20,200000.0,0.03,0.2,False,False,True,0.0568,0.4058,-0.1374,0.2311,-0.4297,0.002,0.0034,0.0828,0.33,0.9401
v40_100000_stock7_crisis15,100000.0,0.07,0.15,False,False,True,0.0624,0.4621,-0.1387,0.4528,-0.3135,0.0017,0.0077,0.0621,0.39,0.9374
v40_50000_stock5_crisis20,50000.0,0.05,0.2,False,False,True,0.0643,0.497,-0.1387,0.5035,-0.4065,0.0009,0.0045,0.0828,0.27,0.9404
v40_100000_stock3_crisis20,100000.0,0.03,0.2,False,False,True,0.0552,0.3881,-0.1365,0.2219,-0.4259,0.0007,0.0023,0.0828,0.19,0.9403
v40_50000_stock3_crisis15,50000.0,0.03,0.15,False,False,True,0.0607,0.4591,-0.1286,0.4852,-0.4864,0.0004,0.0008,0.0621,0.04,0.9392
v40_200000_stock7_crisis15,200000.0,0.07,0.15,False,False,True,0.0631,0.4677,-0.144,0.4637,-0.2628,-0.0004,0.0106,0.0621,0.51,0.9394
v40_50000_stock3_crisis20,50000.0,0.03,0.2,False,False,True,0.0617,0.4674,-0.1286,0.5211,-0.3622,-0.0017,0.0008,0.0828,0.04,0.9367
v40_100000_stock5_crisis15,100000.0,0.05,0.15,False,False,True,0.0566,0.4016,-0.1391,0.1095,-0.861,-0.0041,0.0066,0.0621,0.37,0.9371
v40_50000_stock7_crisis20,50000.0,0.07,0.2,False,False,True,0.058,0.4203,-0.1336,0.1383,-0.7627,-0.0054,0.0067,0.0828,0.31,0.9365
v40_200000_stock5_crisis15,200000.0,0.05,0.15,False,False,True,0.0575,0.412,-0.1439,0.1323,-0.7828,-0.006,0.0062,0.0621,0.53,0.9409
v40_200000_stock3_crisis15,200000.0,0.03,0.15,False,False,True,0.0555,0.3922,-0.1373,0.1219,-0.8093,-0.008,0.0035,0.0621,0.33,0.9407
v40_50000_stock7_crisis15,50000.0,0.07,0.15,False,False,True,0.0521,0.352,-0.1338,-0.0343,-0.9198,-0.0082,0.0062,0.0621,0.27,0.8237
