name,capital,stock_alpha_cap,crisis_cap,stock_rebalance_freq,relative_improvement_gate_passes,production_minimum_gate_passes,stock_execution_gate_passes,annual_return,sharpe_ratio,max_drawdown,avg_oos_sharpe,min_oos_sharpe,annual_return_delta,avg_target_stock,avg_target_crisis,avg_stock_holdings,max_actual_risk_exposure
v40_200000_stock7_crisis20,200000.0,0.07,0.2,40,True,False,True,0.0643,0.4807,-0.144,0.5062,-0.119,0.0095,0.0107,0.0828,0.53,0.9403
v40_200000_stock6_crisis20,200000.0,0.063,0.2,40,True,False,True,0.064,0.4786,-0.1435,0.5129,-0.1465,0.0092,0.0093,0.0828,0.57,0.9393
v40_200000_stock7_crisis22,200000.0,0.07,0.22,40,True,False,True,0.0648,0.4863,-0.144,0.5173,-0.1026,0.0063,0.0107,0.0911,0.53,0.9407
v40_200000_stock7_crisis20_80d,200000.0,0.07,0.2,80,True,False,True,0.061,0.4384,-0.1449,0.4637,-0.3059,0.0062,0.0102,0.0828,0.37,0.9402
v40_200000_stock6_crisis22,200000.0,0.063,0.22,40,True,False,True,0.0645,0.4838,-0.1435,0.5261,-0.1035,0.006,0.0093,0.0911,0.58,0.9402
v40_200000_stock6_crisis20_80d,200000.0,0.063,0.2,80,True,False,True,0.0608,0.4372,-0.1454,0.4778,-0.3055,0.006,0.0095,0.0828,0.37,0.9409
v40_200000_stock6_crisis22_80d,200000.0,0.063,0.22,80,False,False,True,0.0613,0.4429,-0.1454,0.4908,-0.2608,0.0028,0.0096,0.0911,0.38,0.9397
v40_200000_stock7_crisis22_80d,200000.0,0.07,0.22,80,False,False,True,0.0613,0.4406,-0.1449,0.4772,-0.2588,0.0028,0.0104,0.0911,0.39,0.9392
v40_200000_stock6_crisis20_120d,200000.0,0.063,0.2,120,False,False,True,0.0553,0.386,-0.1348,0.2262,-0.4303,0.0005,0.0086,0.0828,0.4,0.9394
v40_200000_stock6_crisis22_120d,200000.0,0.063,0.22,120,False,False,True,0.0558,0.392,-0.1348,0.2458,-0.3984,-0.0027,0.0087,0.0911,0.4,0.9407
v40_200000_stock7_crisis20_120d,200000.0,0.07,0.2,120,False,False,True,0.0478,0.3185,-0.1345,-1.6289,-6.9448,-0.007,0.0073,0.0828,0.32,0.7732
v40_200000_stock7_crisis22_120d,200000.0,0.07,0.22,120,False,False,True,0.0479,0.3199,-0.1345,-1.4636,-6.5103,-0.0106,0.0073,0.0911,0.32,0.7732
