name,capital,stock_alpha_cap,crisis_cap,stock_rebalance_freq,relative_improvement_gate_passes,production_minimum_gate_passes,stock_execution_gate_passes,annual_return,sharpe_ratio,max_drawdown,avg_oos_sharpe,min_oos_sharpe,annual_return_delta,avg_target_stock,avg_target_crisis,avg_stock_holdings,max_actual_risk_exposure
v40_200000_stock6_crisis20_120d,200000.0,0.063,0.2,120,True,False,True,0.0645,0.4956,-0.1341,0.4982,-0.3482,0.0184,0.011,0.0828,0.48,0.9411
v40_200000_stock6_crisis22_120d,200000.0,0.063,0.22,120,True,False,True,0.0624,0.4664,-0.1341,0.5072,-0.2987,0.0158,0.011,0.0911,0.48,0.9397
v40_200000_stock7_crisis22,200000.0,0.07,0.22,40,True,False,True,0.0598,0.4341,-0.1435,0.2258,-0.4707,0.0132,0.0089,0.0911,0.5,0.9398
v40_200000_stock7_crisis20,200000.0,0.07,0.2,40,True,False,True,0.0593,0.4294,-0.1435,0.2061,-0.5083,0.0132,0.0084,0.0828,0.47,0.9399
v40_200000_stock6_crisis22,200000.0,0.063,0.22,40,True,False,True,0.0592,0.4278,-0.1445,0.228,-0.4731,0.0126,0.0075,0.0911,0.47,0.9397
v40_200000_stock7_crisis20_120d,200000.0,0.07,0.2,120,True,False,True,0.0574,0.4032,-0.1338,0.4122,-0.3439,0.0113,0.0108,0.0828,0.47,0.9401
v40_200000_stock7_crisis22_120d,200000.0,0.07,0.22,120,True,False,True,0.0578,0.4087,-0.1339,0.4269,-0.294,0.0112,0.0109,0.0911,0.47,0.9415
v40_200000_stock7_crisis22_80d,200000.0,0.07,0.22,80,True,False,True,0.0563,0.3874,-0.1459,0.1872,-0.5015,0.0097,0.0087,0.0911,0.33,0.9402
v40_200000_stock7_crisis20_80d,200000.0,0.07,0.2,80,True,False,True,0.0555,0.379,-0.1459,0.1199,-0.6585,0.0094,0.0087,0.0828,0.32,0.9398
v40_200000_stock6_crisis20,200000.0,0.063,0.2,40,False,False,True,0.0518,0.3551,-0.1445,-1.6955,-7.1601,0.0057,0.0061,0.0828,0.4,0.7657
v40_200000_stock6_crisis22_80d,200000.0,0.063,0.22,80,False,False,True,0.049,0.3144,-0.1464,-1.5135,-6.6339,0.0024,0.0067,0.0911,0.29,0.7652
v40_200000_stock6_crisis20_80d,200000.0,0.063,0.2,80,False,False,True,0.0485,0.3088,-0.1464,-1.7107,-7.1258,0.0024,0.0066,0.0828,0.29,0.7651
